PT,HLT,HLGT,SOC_ABBREV
Histamine abnormal,Chemistry analyses NEC,Protein and chemistry analyses NEC,Inv
Postoperative thrombosis,Non-site specific procedural complications,Procedural related injuries and complications NEC,Inj&P
Uvulitis,Oral soft tissue disorders NEC,Oral soft tissue conditions,Gastr
Floppy infant,Muscle tone abnormalities,Muscle disorders,Musc
Administration site urticaria,Administration site reactions NEC,Administration site reactions,Genrl
Hypotensive anaesthesia procedure,Anaesthesia and allied procedures,Therapeutic procedures and supportive care NEC,Surg
Multiple drug hypersensitivity,"Allergies to foods, food additives, drugs and other chemicals",Allergic conditions,Immun
Application site scar,Application site reactions,Administration site reactions,Genrl
Anticholinergic syndrome,Autonomic nervous system disorders,Neuromuscular disorders,Nerv
Application site erosion,Application site reactions,Administration site reactions,Genrl
Transposition of the great vessels,Great vessel disorders congenital,Cardiac and vascular disorders congenital,Cong
Hyperaemia,Non-site specific vascular disorders NEC,Vascular disorders NEC,Vasc
Defiant behaviour,Behaviour and socialisation disturbances,Personality disorders and disturbances in behaviour,Psych
Therapeutic product effective for unapproved indication,Therapeutic and nontherapeutic responses,Therapeutic and nontherapeutic effects (excl toxicity),Genrl
Poikilocytosis,Red blood cell abnormal findings NEC,Red blood cell disorders,Blood
Thyroxine abnormal,Thyroid analyses,Endocrine investigations (incl sex hormones),Inv
Atrial enlargement,Myocardial disorders NEC,Myocardial disorders,Card
Electrocardiogram Q wave abnormal,ECG investigations,Cardiac and vascular investigations (excl enzyme tests),Inv
Hemianopia heteronymous,Neurologic visual problems NEC,Neurological disorders of the eye,Nerv
Papillary renal cell carcinoma,Renal neoplasms malignant,Renal and urinary tract neoplasms malignant and unspecified,Neopl
Endocrine disorder,Endocrine disorders NEC,Endocrine and glandular disorders NEC,Endo
Infusion related hypersensitivity reaction,Allergic conditions NEC,Allergic conditions,Immun
Immune-mediated neurological disorder,Central nervous system inflammatory disorders NEC,Central nervous system infections and inflammations,Nerv
Paraneoplastic neurological syndrome,Nervous system disorders NEC,Neurological disorders NEC,Nerv
Tumour hyperprogression,Neoplasms unspecified malignancy and site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
Immune-mediated nephritis,Nephritis NEC,Nephropathies,Renal
Immune-mediated cystitis,Bladder infections and inflammations,Bladder and bladder neck disorders (excl calculi),Renal
Critical illness,General signs and symptoms NEC,General system disorders NEC,Genrl
Minimum inhibitory concentration increased,Microbiology and serology tests NEC,Microbiology and serology investigations,Inv
Insulin-like growth factor decreased,Endocrine analyses and imaging NEC,Endocrine investigations (incl sex hormones),Inv
Cystitis klebsiella,Klebsiella infections,Bacterial infectious disorders,Infec
Primary mediastinal large B-cell lymphoma,Primary mediastinal large B-cell lymphomas,Lymphomas non-Hodgkin's B-cell,Neopl
Enterococcal sepsis,Enterococcal infections,Bacterial infectious disorders,Infec
Encephalitis herpes,Herpes viral infections,Viral infectious disorders,Infec
Sarcomatoid mesothelioma,Mesotheliomas malignant and unspecified,Mesotheliomas,Neopl
Adenocarcinoma metastatic,Neoplasms malignant site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
Dreamy state,Partial complex seizures,Seizures (incl subtypes),Nerv
B-cell aplasia,Leukopenias NEC,White blood cell disorders,Blood
Cardiorenal syndrome,Heart failures NEC,Heart failures,Card
Cytokine storm,Immune and associated conditions NEC,Immune disorders NEC,Immun
Diffuse large B-cell lymphoma recurrent,Diffuse large B-cell lymphomas,Lymphomas non-Hodgkin's B-cell,Neopl
Primary mediastinal large B-cell lymphoma recurrent,Primary mediastinal large B-cell lymphomas,Lymphomas non-Hodgkin's B-cell,Neopl
Immunoglobulins decreased,Immunoglobulin analyses,Immunology and allergy investigations,Inv
Second primary malignancy,Neoplasms malignant site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
Human herpesvirus 6 encephalitis,Herpes viral infections,Viral infectious disorders,Infec
Hepatitis B core antigen positive,Virus identification and serology,Microbiology and serology investigations,Inv
Perineal infection,Muscle and soft tissue infections,Infections - pathogen unspecified,Infec
Sarcopenia,Muscle weakness conditions,Muscle disorders,Musc
Metastases to stomach,Metastases to specified sites,Metastases,Neopl
Metastases to uterus,Metastases to specified sites,Metastases,Neopl
Bone marrow necrosis,Haematological disorders,Haematological disorders NEC,Blood
Blood product transfusion dependent,Disability issues,Lifestyle issues,SocCi
Chondritis,Cartilage disorders,"Tendon, ligament and cartilage disorders",Musc
Coombs negative haemolytic anaemia,Anaemias haemolytic NEC,Haemolyses and related conditions,Blood
Myelodysplastic syndrome transformation,Myelodysplastic syndromes,Leukaemias,Neopl
Orbital apex syndrome,Ocular nerve and muscle disorders,Ocular neuromuscular disorders,Eye
Blast cell proliferation,Myeloproliferative disorders (excl leukaemias),Haematopoietic neoplasms (excl leukaemias and lymphomas),Neopl
Chloroma,Leukaemias myeloid NEC,Leukaemias,Neopl
Blast cell count increased,Haematological analyses NEC,Haematology investigations (incl blood groups),Inv
Graft versus host disease in liver,Immune and associated conditions NEC,Immune disorders NEC,Immun
Transformation to acute myeloid leukaemia,Leukaemias acute myeloid,Leukaemias,Neopl
Angioimmunoblastic T-cell lymphoma refractory,Angioimmunoblastic T-cell lymphomas,Lymphomas non-Hodgkin's T-cell,Neopl
Minimal residual disease,Haematologic neoplasms NEC,Haematopoietic neoplasms (excl leukaemias and lymphomas),Neopl
Blood uric acid abnormal,Metabolism tests NEC,"Metabolic, nutritional and blood gas investigations",Inv
Cytomegalovirus colitis,Cytomegaloviral infections,Viral infectious disorders,Infec
Klebsiella bacteraemia,Klebsiella infections,Bacterial infectious disorders,Infec
Aortic disorder,Site specific vascular disorders NEC,Vascular disorders NEC,Vasc
Venous aneurysm,Aneurysms and dissections non-site specific,Aneurysms and artery dissections,Vasc
Karyotype analysis abnormal,Chromosome analyses,Cytogenetic investigations and genetic analyses,Inv
Platelet transfusion,Blood and blood product treatment,Haematological and lymphoid tissue therapeutic procedures,Surg
Congenital neuropathy,Peripheral nervous system disorders congenital NEC,Neurological disorders congenital,Cong
Pinguecula,"Conjunctival structural change, deposit and degeneration","Anterior eye structural change, deposit and degeneration",Eye
Cholangitis acute,Bile duct infections and inflammations,Bile duct disorders,Hepat
Intestinal transposition,Intestinal disorders congenital,Gastrointestinal tract disorders congenital,Cong
Mycobacterium test,Mycobacteria identification and serology,Microbiology and serology investigations,Inv
Renal hypoplasia,Renal disorders congenital,Renal and urinary tract disorders congenital,Cong
Astrocytoma,Nervous system neoplasms unspecified malignancy NEC,Nervous system neoplasms malignant and unspecified NEC,Neopl
Peripancreatic fluid collection,Gastrointestinal and hepatobiliary procedural complications,Procedural related injuries and complications NEC,Inj&P
Ileal ulcer perforation,Intestinal ulcers and perforation NEC,Gastrointestinal ulceration and perforation,Gastr
Actinomycosis,Actinomycotic infectious disorders,Bacterial infectious disorders,Infec
Sweat gland tumour,Skin neoplasms benign,Cutaneous neoplasms benign,Neopl
Hair follicle tumour benign,Skin neoplasms benign,Cutaneous neoplasms benign,Neopl
Upper motor neurone lesion,Motor neurone diseases,Neuromuscular disorders,Nerv
Fat embolism,Non-site specific injuries NEC,Injuries NEC,Inj&P
Plasmacytoma,Plasma cell myelomas,Plasma cell neoplasms,Neopl
Aortitis,Aortic infections and inflammations,Vascular infections and inflammations,Vasc
Transverse sinus thrombosis,Cerebrovascular venous and sinus thrombosis,Central nervous system vascular disorders,Nerv
Band neutrophil count decreased,White blood cell analyses,Haematology investigations (incl blood groups),Inv
Obstructive pancreatitis,Acute and chronic pancreatitis,Exocrine pancreas conditions,Gastr
Cortisol increased,Adrenal cortex tests,Endocrine investigations (incl sex hormones),Inv
Viral pharyngitis,Viral infections NEC,Viral infectious disorders,Infec
Graft complication,Transplantation complications,Procedural related injuries and complications NEC,Inj&P
Anastomotic stenosis,Non-site specific procedural complications,Procedural related injuries and complications NEC,Inj&P
Vascular graft complication,Cardiac and vascular procedural complications,Procedural related injuries and complications NEC,Inj&P
Bladder neoplasm surgery,Bladder therapeutic procedures,Renal and urinary tract therapeutic procedures,Surg
Large intestine anastomosis,Large intestine therapeutic procedures,Gastrointestinal therapeutic procedures,Surg
Polypectomy,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surg
Dysplastic naevus syndrome,Skin and subcutaneous tissue disorders congenital NEC,Skin and subcutaneous tissue disorders congenital,Cong
Neurocysticercosis,Cestode infections,Helminthic disorders,Infec
Gallbladder hypofunction,Gallbladder disorders NEC,Gallbladder disorders,Hepat
Hepatitis B DNA increased,Virus identification and serology,Microbiology and serology investigations,Inv
Hepatitis B e antigen positive,Virus identification and serology,Microbiology and serology investigations,Inv
Inguinal mass,Soft tissue disorders NEC,Musculoskeletal and connective tissue disorders NEC,Musc
Lymph node palpable,Physical examination procedures and organ system status,Physical examination and organ system status topics,Inv
Sebaceous hyperplasia,Sebaceous gland disorders,Skin appendage conditions,Skin
Ultrasound antenatal screen abnormal,Foetal and neonatal imaging procedures,Foetal and neonatal investigations,Inv
Intestinal mucosal hypertrophy,Gastrointestinal disorders NEC,Gastrointestinal conditions NEC,Gastr
Spontaneous bacterial peritonitis,Bacterial infections NEC,Bacterial infectious disorders,Infec
CD19 lymphocytes decreased,Cell marker analyses,Cytogenetic investigations and genetic analyses,Inv
Lip resection,Lip therapeutic procedures,Head and neck therapeutic procedures,Surg
Red blood cell morphology abnormal,Red blood cell analyses,Haematology investigations (incl blood groups),Inv
Spur cell anaemia,Red cell membrane and enzyme abnormalities,Haemolyses and related conditions,Blood
Mycotic endophthalmitis,Fungal infections NEC,Fungal infectious disorders,Infec
Aortic valve replacement,Cardiac valve therapeutic procedures,Cardiac therapeutic procedures,Surg
Immunodeficiency common variable,Primary immunodeficiency syndromes,Immunodeficiency syndromes,Immun
Keratitis bacterial,Bacterial infections NEC,Bacterial infectious disorders,Infec
Ephelides,Hyperpigmentation disorders,Pigmentation disorders,Skin
Eyelash discolouration,"Lid, lash and lacrimal structural disorders","Anterior eye structural change, deposit and degeneration",Eye
Bacterial disease carrier,Infectious disorders carrier,Ancillary infectious topics,Infec
Red blood cell schistocytes present,Red blood cell analyses,Haematology investigations (incl blood groups),Inv
Lupus nephritis,Nephritis NEC,Nephropathies,Renal
Malassezia infection,Tinea infections,Fungal infectious disorders,Infec
Hepatic haematoma,Hepatic vascular disorders,Hepatic and hepatobiliary disorders,Hepat
Burkitt's lymphoma stage III,Burkitt's lymphomas,Lymphomas non-Hodgkin's B-cell,Neopl
Burkitt's lymphoma,Burkitt's lymphomas,Lymphomas non-Hodgkin's B-cell,Neopl
Device related bacteraemia,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections - pathogen unspecified,Infec
Tongue neoplasm,Lip and oral cavity neoplasms malignancy unspecified,Gastrointestinal neoplasms malignant and unspecified,Neopl
Cytoreductive surgery,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surg
Culture positive,Microbiology and serology tests NEC,Microbiology and serology investigations,Inv
Biopsy pancreas abnormal,Gastrointestinal histopathology procedures,Gastrointestinal investigations,Inv
Blood proinsulin increased,"Gastrointestinal, pancreatic and APUD hormone analyses",Endocrine investigations (incl sex hormones),Inv
Insulin C-peptide increased,"Gastrointestinal, pancreatic and APUD hormone analyses",Endocrine investigations (incl sex hormones),Inv
Insulinoma,Islet cell neoplasms and APUDoma NEC,Endocrine neoplasms malignant and unspecified,Neopl
Munchausen's syndrome,Factitious disorders,Somatic symptom and related disorders,Psych
Pneumonia herpes viral,Herpes viral infections,Viral infectious disorders,Infec
Endocarditis noninfective,Endocarditis NEC,Endocardial disorders,Card
Epstein-Barr virus antigen positive,Virus identification and serology,Microbiology and serology investigations,Inv
Burkholderia cepacia complex sepsis,Burkholderia infections,Bacterial infectious disorders,Infec
Joint contracture,Joint related disorders NEC,Joint disorders,Musc
XXYY syndrome,Sex chromosomal abnormalities,"Chromosomal abnormalities, gene alterations and gene variants",Cong
Malignant nervous system neoplasm,Nervous system neoplasms malignant NEC,Nervous system neoplasms malignant and unspecified NEC,Neopl
Corneal neovascularisation,Conjunctival and corneal bleeding and vascular disorders,Ocular haemorrhages and vascular disorders NEC,Eye
Moraxella infection,Moraxella infections,Bacterial infectious disorders,Infec
Spirometry abnormal,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Inv
Fungal peritonitis,Fungal infections NEC,Fungal infectious disorders,Infec
Peritoneal candidiasis,Candida infections,Fungal infectious disorders,Infec
Multiple cardiac defects,Multiple cardiac abnormalities congenital,Cardiac and vascular disorders congenital,Cong
Corneal defect,Corneal disorders NEC,Eye disorders NEC,Eye
Congenital hypothyroidism,Thyroid disorders congenital,Endocrine disorders congenital,Cong
Jaundice acholuric,Haemolyses NEC,Haemolyses and related conditions,Blood
Benign neoplasm of conjunctiva,Ocular neoplasms benign,Ocular neoplasms,Neopl
Papilloma conjunctival,Ocular neoplasms benign,Ocular neoplasms,Neopl
Acute leukaemia,Leukaemias acute NEC,Leukaemias,Neopl
Sebaceous carcinoma,Skin neoplasms malignant and unspecified (excl melanoma),Skin neoplasms malignant and unspecified,Neopl
Fibrous histiocytoma,Skin neoplasms benign,Cutaneous neoplasms benign,Neopl
Erythropoiesis abnormal,Red blood cell abnormal findings NEC,Red blood cell disorders,Blood
Myocardial necrosis,Myocardial disorders NEC,Myocardial disorders,Card
Breast cancer male,Breast and nipple neoplasms malignant,Breast neoplasms malignant and unspecified (incl nipple),Neopl
Gastrooesophageal cancer,Gastric neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
Infective aortitis,Vascular infections,Infections - pathogen unspecified,Infec
Salmonella bacteraemia,Salmonella infections,Bacterial infectious disorders,Infec
Femoral artery aneurysm,Peripheral aneurysms and dissections,Aneurysms and artery dissections,Vasc
Angiocentric lymphoma,Angiocentric lymphomas,Lymphomas non-Hodgkin's T-cell,Neopl
Cerebral atrophy congenital,Cerebral disorders congenital,Neurological disorders congenital,Cong
Spinal muscular atrophy,Neurological disorders congenital NEC,Neurological disorders congenital,Cong
Grunting,Breathing abnormalities,Respiratory disorders NEC,Resp
Epstein-Barr virus associated lymphoma,B-cell lymphomas NEC,Lymphomas non-Hodgkin's B-cell,Neopl
Graft loss,Transplantation complications,Procedural related injuries and complications NEC,Inj&P
Complications of transplanted heart,Transplantation complications,Procedural related injuries and complications NEC,Inj&P
Cutaneous T-cell lymphoma stage III,Mycoses fungoides,Lymphomas non-Hodgkin's T-cell,Neopl
Cafe au lait spots,Hyperpigmentation disorders,Pigmentation disorders,Skin
Cranial sutures widening,"Musculoskeletal and connective tissue deformities of skull, face and buccal cavity",Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),Musc
Acute monocytic leukaemia,Leukaemias acute myeloid,Leukaemias,Neopl
Disseminated cytomegaloviral infection,Cytomegaloviral infections,Viral infectious disorders,Infec
Urine protein/creatinine ratio increased,Renal function analyses,Renal and urinary tract investigations and urinalyses,Inv
Colorectal adenocarcinoma,Colorectal neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
Malignant gastrointestinal obstruction,Gastrointestinal stenosis and obstruction NEC,Gastrointestinal stenosis and obstruction,Gastr
Autoimmune pancreatitis,Acute and chronic pancreatitis,Exocrine pancreas conditions,Gastr
Gastric mucosa erythema,Gastrointestinal disorders NEC,Gastrointestinal conditions NEC,Gastr
Acarodermatitis,Ectoparasitic infestations,Ectoparasitic disorders,Infec
Histology abnormal,Histopathology procedures NEC,"Investigations, imaging and histopathology procedures NEC",Inv
Cow pox,Orthopox viral infections,Viral infectious disorders,Infec
Mandibular mass,Musculoskeletal and connective tissue conditions NEC,Musculoskeletal and connective tissue disorders NEC,Musc
Tonsillar inflammation,Pharyngeal disorders (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),Resp
B-lymphocyte count decreased,White blood cell analyses,Haematology investigations (incl blood groups),Inv
Biopsy kidney abnormal,Urinary tract histopathology procedures,Renal and urinary tract investigations and urinalyses,Inv
Herpes simplex test positive,Virus identification and serology,Microbiology and serology investigations,Inv
Mucocutaneous haemorrhage,Skin haemorrhages,Skin vascular abnormalities,Skin
Testicular cancer metastatic,Testicular neoplasms malignant,Reproductive neoplasms male malignant and unspecified,Neopl
Epstein Barr virus positive mucocutaneous ulcer,Lymphoproliferative disorders NEC (excl leukaemias and lymphomas),Haematopoietic neoplasms (excl leukaemias and lymphomas),Neopl
Cytomegalovirus enteritis,Cytomegaloviral infections,Viral infectious disorders,Infec
Mycetoma mycotic,Fungal infections NEC,Fungal infectious disorders,Infec
Cytomegalovirus duodenitis,Cytomegaloviral infections,Viral infectious disorders,Infec
Antineutrophil cytoplasmic antibody increased,Autoimmunity analyses,Immunology and allergy investigations,Inv
Lacrimal haemorrhage,Ocular bleeding and vascular disorders NEC,Ocular haemorrhages and vascular disorders NEC,Eye
Mitochondrial neurogastrointestinal encephalopathy,Genetic mitochondrial abnormalities NEC,Cytoplasmic disorders congenital,Cong
Lupus myocarditis,Noninfectious myocarditis,Myocardial disorders,Card
Connective tissue disorder,Connective tissue disorders NEC,Connective tissue disorders (excl congenital),Musc
Neonatal lupus erythematosus,Connective tissue disorders congenital,Musculoskeletal and connective tissue disorders congenital,Cong
Scleroderma renal crisis,Renal failure and impairment,Renal disorders (excl nephropathies),Renal
Septic vasculitis,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections - pathogen unspecified,Infec
Corneal lesion,"Corneal structural change, deposit and degeneration","Anterior eye structural change, deposit and degeneration",Eye
Retinal pallor,"Retinal structural change, deposit and degeneration","Ocular structural change, deposit and degeneration NEC",Eye
Tumour invasion,Neoplasms malignant site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
Complications of transplanted lung,Transplantation complications,Procedural related injuries and complications NEC,Inj&P
Cytomegalovirus syndrome,Cytomegaloviral infections,Viral infectious disorders,Infec
Central nervous system lupus,Nervous system disorders NEC,Neurological disorders NEC,Nerv
Meningitis enteroviral,Enteroviral infections NEC,Viral infectious disorders,Infec
Infective tenosynovitis,Muscle and soft tissue infections,Infections - pathogen unspecified,Infec
Borrelia infection,Borrelial infections,Bacterial infectious disorders,Infec
Relapsing fever,Borrelial infections,Bacterial infectious disorders,Infec
Cardiac sarcoidosis,Myocardial disorders NEC,Myocardial disorders,Card
Hyperemesis gravidarum,Maternal complications of pregnancy NEC,Maternal complications of pregnancy,Preg
Mediastinal mass,Mediastinal disorders,Thoracic disorders (excl lung and pleura),Resp
Eyelid exfoliation,"Lid, lash and lacrimal structural disorders","Anterior eye structural change, deposit and degeneration",Eye
Pneumococcal infection,Streptococcal infections,Bacterial infectious disorders,Infec
Severe invasive streptococcal infection,Streptococcal infections,Bacterial infectious disorders,Infec
Adrenal atrophy,Adrenal cortical hypofunctions,Adrenal gland disorders,Endo
Adnexa uteri cyst,Pelvis and broad ligament disorders NEC,"Uterine, pelvic and broad ligament disorders",Repro
Oral hairy leukoplakia,Epstein-Barr viral infections,Viral infectious disorders,Infec
Mycoplasma infection,Mycoplasma infections,Mycoplasmal infectious disorders,Infec
Fallopian tube cancer,Fallopian tube neoplasms malignant,Reproductive neoplasms female malignant and unspecified,Neopl
Immunoblastic lymphoma,Non-Hodgkin's lymphomas unspecified histology aggressive,Lymphomas non-Hodgkin's unspecified histology,Neopl
Orofacial granulomatosis,Oral soft tissue disorders NEC,Oral soft tissue conditions,Gastr
Antisynthetase syndrome,Muscle infections and inflammations,Muscle disorders,Musc
Labelled drug-food interaction issue,Product monitoring errors and issues,Medication errors and other product use errors and issues,Inj&P
Follicular lymphoma stage I,Follicular lymphomas,Lymphomas non-Hodgkin's B-cell,Neopl
Follicular lymphoma stage II,Follicular lymphomas,Lymphomas non-Hodgkin's B-cell,Neopl
Oral neoplasm,Lip and oral cavity neoplasms malignancy unspecified,Gastrointestinal neoplasms malignant and unspecified,Neopl
Spinal cord neoplasm,Nervous system neoplasms unspecified malignancy NEC,Nervous system neoplasms malignant and unspecified NEC,Neopl
Malacoplakia gastrointestinal,Gastrointestinal inflammatory disorders NEC,Gastrointestinal inflammatory conditions,Gastr
Urinary tract injury,Renal and urinary tract injuries NEC,Injuries NEC,Inj&P
Parvovirus B19 infection,Parvoviral infections,Viral infectious disorders,Infec
Renal graft infection,Urinary tract infections,Infections - pathogen unspecified,Infec
Blood testosterone increased,Reproductive hormone analyses,Endocrine investigations (incl sex hormones),Inv
Application site scab,Application site reactions,Administration site reactions,Genrl
Hyposmia,Olfactory nerve disorders,Cranial nerve disorders (excl neoplasms),Nerv
Hypertrophy of tongue papillae,Tongue disorders,Tongue conditions,Gastr
Choroiditis,"Retinal, choroid and vitreous infections and inflammations","Ocular infections, irritations and inflammations",Eye
Capillary nail refill test abnormal,Vascular tests NEC (incl blood pressure),Cardiac and vascular investigations (excl enzyme tests),Inv
Urethritis,Urinary tract infections,Infections - pathogen unspecified,Infec
Intermittent explosive disorder,Impulse control disorders,Impulse control disorders NEC,Psych
Jaw cyst,Bone disorders NEC,Bone disorders (excl congenital and fractures),Musc
Urethritis mycoplasmal,Mycoplasma infections,Mycoplasmal infectious disorders,Infec
Blood ketone body decreased,Metabolism tests NEC,"Metabolic, nutritional and blood gas investigations",Inv
Post polio syndrome,Myelitis (incl infective),Central nervous system infections and inflammations,Nerv
Full blood count,Blood counts NEC,Haematology investigations (incl blood groups),Inv
Acral peeling skin syndrome,Skin and subcutaneous tissue disorders congenital NEC,Skin and subcutaneous tissue disorders congenital,Cong
Conjunctival cyst,Ocular cysts and polyps,Ocular neoplasms,Eye
Corneal cyst,Ocular cysts and polyps,Ocular neoplasms,Eye
Increased viscosity of bronchial secretion,Lower respiratory tract signs and symptoms,Respiratory tract signs and symptoms,Resp
Cystic fibrosis lung,Pulmonary and bronchial disorders congenital,Respiratory disorders congenital,Cong
Bronchopulmonary aspergillosis allergic,Aspergillus infections,Fungal infectious disorders,Infec
Blood iron abnormal,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Inv
Pleural calcification,Pleural conditions NEC,Pleural disorders,Resp
Anophthalmos,Ocular disorders congenital NEC,Eye disorders congenital,Cong
Hydroureter,Ureteric disorders NEC,Ureteric disorders,Renal
Renal arteriovenous malformation,Vascular anomalies congenital NEC,Cardiac and vascular disorders congenital,Cong
Anticonvulsant drug level below therapeutic,Therapeutic drug monitoring analyses,Toxicology and therapeutic drug monitoring,Inv
Intestinal pseudo-obstruction,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal motility and defaecation conditions,Gastr
Blood culture positive,Microbiology and serology tests NEC,Microbiology and serology investigations,Inv
Endocarditis bacterial,Bacterial infections NEC,Bacterial infectious disorders,Infec
Transverse presentation,Foetal position and presentation abnormalities,Foetal complications,Preg
Implant site scar,Implant and catheter site reactions,Administration site reactions,Genrl
Hyperamylasaemia,Metabolic disorders NEC,Metabolism disorders NEC,Metab
Corneal bleeding,Conjunctival and corneal bleeding and vascular disorders,Ocular haemorrhages and vascular disorders NEC,Eye
Myotonia,Muscle tone abnormal,Neuromuscular disorders,Nerv
Implant site discharge,Implant and catheter site reactions,Administration site reactions,Genrl
CSF white blood cell count increased,Cerebrospinal fluid tests (excl microbiology),"Neurological, special senses and psychiatric investigations",Inv
Implant site swelling,Implant and catheter site reactions,Administration site reactions,Genrl
Twiddler's syndrome,Non-site specific procedural complications,Procedural related injuries and complications NEC,Inj&P
Mental status changes postoperative,Neurological and psychiatric procedural complications,Procedural related injuries and complications NEC,Inj&P
Medical device site fibrosis,Complications associated with device NEC,Complications associated with device,Genrl
Medical device site haematoma,Complications associated with device NEC,Complications associated with device,Genrl
Medical device site haemorrhage,Complications associated with device NEC,Complications associated with device,Genrl
Medical device site oedema,Complications associated with device NEC,Complications associated with device,Genrl
Implant site pain,Implant and catheter site reactions,Administration site reactions,Genrl
Medical device site inflammation,Complications associated with device NEC,Complications associated with device,Genrl
Medical device site swelling,Complications associated with device NEC,Complications associated with device,Genrl
Pocket erosion,Non-site specific procedural complications,Procedural related injuries and complications NEC,Inj&P
Medical device site erosion,Complications associated with device NEC,Complications associated with device,Genrl
Neuropsychiatric syndrome,Mental disorders due to a general medical condition NEC,Psychiatric disorders NEC,Psych
Medical device site discharge,Complications associated with device NEC,Complications associated with device,Genrl
Medical device site discomfort,Complications associated with device NEC,Complications associated with device,Genrl
Medical device site erythema,Complications associated with device NEC,Complications associated with device,Genrl
Medical device site pain,Complications associated with device NEC,Complications associated with device,Genrl
Medical device site ulcer,Complications associated with device NEC,Complications associated with device,Genrl
Medical device site vesicles,Complications associated with device NEC,Complications associated with device,Genrl
Medical device site warmth,Complications associated with device NEC,Complications associated with device,Genrl
Acetonaemia,Metabolic acidoses (excl diabetic acidoses),Acid-base disorders,Metab
Device infusion issue,Device malfunction events NEC,Device issues,Prod
Feeding intolerance,Food malabsorption and intolerance syndromes (excl sugar intolerance),Food intolerance syndromes,Metab
Pneumatosis intestinalis,Gastrointestinal disorders NEC,Gastrointestinal conditions NEC,Gastr
Infusion site calcification,Infusion site reactions,Administration site reactions,Genrl
Implant site erythema,Implant and catheter site reactions,Administration site reactions,Genrl
Medical device site reaction,Complications associated with device NEC,Complications associated with device,Genrl
Device kink,Device physical property and chemical issues,Device issues,Prod
Oscillopsia,Visual disorders NEC,Vision disorders,Eye
"Acute encephalitis with refractory, repetitive partial seizures",Seizures and seizure disorders NEC,Seizures (incl subtypes),Nerv
Kleptomania,Impulse control disorders,Impulse control disorders NEC,Psych
Dissociative identity disorder,Dissociative states,Dissociative disorders,Psych
Exaggerated startle response,Neurological signs and symptoms NEC,Neurological disorders NEC,Nerv
Echopraxia,Stereotypies and automatisms,Changes in physical activity,Psych
Spinal artery thrombosis,Central nervous system vascular disorders NEC,Central nervous system vascular disorders,Nerv
Urea urine decreased,Urinalysis NEC,Renal and urinary tract investigations and urinalyses,Inv
Dropped head syndrome,Neuromuscular disorders NEC,Neuromuscular disorders,Nerv
Viral pericarditis,Viral infections NEC,Viral infectious disorders,Infec
Normochromic anaemia,Anaemias NEC,Anaemias nonhaemolytic and marrow depression,Blood
Lymphoplasmacytoid lymphoma/immunocytoma,Lymphoplasmacytoid lymphomas/immunocytomas,Lymphomas non-Hodgkin's B-cell,Neopl
Lichen planopilaris,Alopecias,Skin appendage conditions,Skin
Adenosquamous cell lung cancer,Non-small cell neoplasms malignant of the respiratory tract cell type specified,Respiratory and mediastinal neoplasms malignant and unspecified,Neopl
Seborrhoeic keratosis,Skin neoplasms benign,Cutaneous neoplasms benign,Neopl
Blood insulin,"Gastrointestinal, pancreatic and APUD hormone analyses",Endocrine investigations (incl sex hormones),Inv
Leukaemia granulocytic,Leukaemias myeloid NEC,Leukaemias,Neopl
Endometrial thinning,Uterine disorders NEC,"Uterine, pelvic and broad ligament disorders",Repro
Janus kinase 2 mutation,Gene mutations and other alterations NEC,"Chromosomal abnormalities, gene alterations and gene variants",Cong
Rhabdomyosarcoma,Rhabdomyosarcomas,Soft tissue neoplasms malignant and unspecified,Neopl
Induced labour,Labour onset and length abnormalities,Maternal complications of labour and delivery,Preg
Cardiopulmonary bypass,Cardiac therapeutic procedures NEC,Cardiac therapeutic procedures,Surg
Nephrectomy,Renal therapeutic procedures,Renal and urinary tract therapeutic procedures,Surg
Arteritis infective,Vascular infections,Infections - pathogen unspecified,Infec
Infective aneurysm,Vascular infections,Infections - pathogen unspecified,Infec
Graft haemorrhage,Transplantation complications,Procedural related injuries and complications NEC,Inj&P
Kidney rupture,Renal and urinary tract injuries NEC,Injuries NEC,Inj&P
Herpes simplex hepatitis,Herpes viral infections,Viral infectious disorders,Infec
Renal artery stenosis,Renal vascular and ischaemic conditions,Renal disorders (excl nephropathies),Renal
Pneumonia acinetobacter,Bacterial infections NEC,Bacterial infectious disorders,Infec
