Drug,PubChem CID,InChI Key,SMILES,STITCH ID,BNF Code,chembl_id,atc_codes
Medazepam,4041,YLCXGBZIZBEVPZ-UHFFFAOYSA-N,CN1CCN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CIDs00004041,,CHEMBL28333,['N05BA03']
Medium Chain Triglycerides,No PubChem CID found,No InChI Key found,No SMILES found,,['090401000AA'],,
Medronic Acid,16124,MBKDYNNUVRNNRF-UHFFFAOYSA-N,C(P(=O)(O)O)P(=O)(O)O,CIDs00016124,,CHEMBL180570,[]
Medroxyprogesterone,10631,FRQMUZJSZHZSGN-HBNHAYAOSA-N,CC1CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C,CIDs46782109,"['0703022M0AA', '0803020H0AA', '0604012M0AA']",CHEMBL1390,[]
Mefenamic Acid,4044,HYYBABOKPJLUIN-UHFFFAOYSA-N,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,CIDs00004044,['1001010N0AA'],CHEMBL686,['M01AG01']
Mefloquine,40692,XEEQGYMUWCZPDN-DOMZBBRYSA-N,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,CIDs00040692,['0504010L0AA'],CHEMBL172,[]
Mefruside,4047,SMNOERSLNYGGOU-UHFFFAOYSA-N,CC1(CCCO1)CN(C)S(=O)(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N,CIDs00004047,,CHEMBL2105131,['C03BA05']
Megestrol,19090,VXIMPSPISRVBPZ-NWUMPJBXSA-N,CC1=CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C,CIDs00019090,['0803020L0AA'],CHEMBL4071215,[]
Meglumine,8567,MBBZMMPHUWSWHV-BDVNFPICSA-N,CNCC(C(C(C(CO)O)O)O)O,CIDs00008567,,CHEMBL1200570,[]
Melaleuca,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Melatonin,896,DRLFMBDRBRZALE-UHFFFAOYSA-N,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,CIDs00000896,"['0401010ADAA', '0401010ADBC']",CHEMBL45,['N05CH01']
Meloxicam,54677470,ZRVUJXDFFKFLMG-UHFFFAOYSA-N,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,CIDs54682543,['1001010AAAA'],CHEMBL599,"['M01AC56', 'M01AC06']"
Melperone,15387,DKMFBWQBDIGMHM-UHFFFAOYSA-N,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,CIDs71749942,['0402010AFAA'],CHEMBL1531134,['N05AD03']
Melphalan,460612,SGDBTWWWUNNDEQ-LBPRGKRZSA-N,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,CIDs00460612,['0801010S0AA'],CHEMBL852,['L01AA03']
Memantine,4054,BUGYDGFZZOZRHP-UHFFFAOYSA-N,CC12CC3CC(C1)(CC(C3)(C2)N)C,CIDs00004054,['0411000G0AA'],CHEMBL807,['N06DX01']
Menotrophin,21888462,CBUWTGCATVNMJE-UHFFFAOYSA-N,CC(C)(C)CCCCC=O,CIDs21888462,['0605010N0AA'],,[]
Mentha,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Menthone,26447,NFLGAXVYCFJBMK-BDAKNGLRSA-N,CC1CCC(C(=O)C1)C(C)C,CIDs00026447,,CHEMBL276311,[]
Menthyl Valerate,78941,LCJPVSLESAPYMK-UHFFFAOYSA-N,CCCCC(=O)OC1CC(CCC1C(C)C)C,CIDs15251010,,,[]
Mepacrine,237,GPKJTRJOBQGKQK-UHFFFAOYSA-N,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,CIDs00000237,['0504040M0AA'],CHEMBL7568,['P01AX05']
Mepenzolate,4057,GKNPSSNBBWDAGH-UHFFFAOYSA-N,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,CIDs00004057,['0102000R0AA'],CHEMBL524004,['A03AB12']
Mepivacaine,4062,INWLQCZOYSRPNW-UHFFFAOYSA-N,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C,CIDs00004062,['1502010ABAA'],CHEMBL1087,"['N01BB03', 'N01BB53']"
Mepolizumab,No PubChem CID found,No InChI Key found,No SMILES found,,['0304020Y0AA'],,
Meprobamate,4064,NPPQSCRMBWNHMW-UHFFFAOYSA-N,CCCC(C)(COC(=O)N)COC(=O)N,CIDs00004064,['0401020R0AA'],CHEMBL979,"['N05BC01', 'N05BC51', 'N05CX01']"
Meptazinol,41049,JLICHNCFTLFZJN-UHFFFAOYSA-N,CCC1(CCCCN(C1)C)C2=CC(=CC=C2)O,CIDs00041049,['0407020L0AA'],CHEMBL314437,['N02AX05']
Mepyramine,4992,YECBIJXISLIIDS-UHFFFAOYSA-N,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2,CIDs00004992,['1303000M0AA'],CHEMBL511,"['R06AC01', 'D04AA02']"
Mequitazine,4066,HOKDBMAJZXIPGC-UHFFFAOYSA-N,C1CN2CCC1C(C2)CN3C4=CC=CC=C4SC5=CC=CC=C53,CIDs00004066,,CHEMBL73451,['R06AD07']
Mercaptamine,6058,UFULAYFCSOUIOV-UHFFFAOYSA-N,C(CS)N,CIDs00006058,"['0908010E0AA', '1108010A0AA']",CHEMBL602,"['A16AA04', 'S01XA21']"
Mercapto Mixture,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Mercaptopurine,667490,GLVAUDGFNGKCSF-UHFFFAOYSA-N,C1=NC2=C(N1)C(=S)N=CN2,CIDs00667490,['0801030L0AA'],CHEMBL1425,[]
Meropenem,441130,DMJNNHOOLUXYBV-PQTSNVLCSA-N,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O,CIDs46782127,['0501022A0AA'],CHEMBL127,['J01DH02']
Mesalazine,4075,KBOPZPXVLCULAV-UHFFFAOYSA-N,C1=CC(=C(C=C1N)C(=O)O)O,CIDs00004075,"['0105010B0AA', '0105010B0BC']",CHEMBL704,['A07EC02']
Mesna,23662354,XOGTZOOQQBDUSI-UHFFFAOYSA-M,C(CS(=O)(=O)[O-])S.[Na+],CIDs45039698,['0801000T0AA'],CHEMBL975,"['V03AF01', 'R05CB05']"
Mesterolone,15020,UXYRZJKIQKRJCF-TZPFWLJSSA-N,CC1CC(=O)CC2C1(C3CCC4(C(C3CC2)CCC4O)C)C,CIDs00015020,['0604020F0AA'],CHEMBL258918,['G03BB01']
Mestranol,6291,IMSSROKUHAOUJS-MJCUULBUSA-N,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC,CIDs00006291,['0703010M0AA'],CHEMBL1201151,[]
Metaraminol,5906,WXFIGDLSSYIKKV-RCOVLWMOSA-N,CC(C(C1=CC(=CC=C1)O)O)N,CIDs00005906,['0207020L0AA'],CHEMBL1201319,['C01CA09']
Metaxalone,15459,IMWZZHHPURKASS-UHFFFAOYSA-N,CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C,CIDs00015459,,CHEMBL1079604,[]
Metergoline,28693,WZHJKEUHNJHDLS-QTGUNEKASA-N,CN1CC(CC2C1CC3=CN(C4=CC=CC2=C34)C)CNC(=O)OCC5=CC=CC=C5,CIDs00028693,,CHEMBL19215,['G02CB05']
Metformin,4091,XZWYZXLIPXDOLR-UHFFFAOYSA-N,CN(C)C(=N)N=C(N)N,CIDs00004091,"['0601022B0AA', '0601023V0AA', '0601023W0AA', '0601023Z0AA', '0601023ADAA', '0601023AHAA']",CHEMBL1431,['A10BA02']
Methacrylic Acid,4093,CERQOIWHTDAKMF-UHFFFAOYSA-N,CC(=C)C(=O)O,CIDs00004093,,CHEMBL1213531,[]
Methadone,4095,USSIQXCVUWKGNF-UHFFFAOYSA-N,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,CIDs00004095,"['0407020M0AA', '0410030C0AA', '0309010S0AA']",CHEMBL651,"['N02AC52', 'N07BC02']"
Methandienone,6300,XWALNWXLMVGSFR-HLXURNFRSA-N,CC12CCC3C(C1CCC2(C)O)CCC4=CC(=O)C=CC34C,CIDs06429875,,CHEMBL1418176,"['D11AE01', 'A14AA03']"
Methenamine,4101,VKYKSIONXSXAKP-UHFFFAOYSA-N,C1N2CN3CN1CN(C2)C3,CIDs00004101,['0501130H0AA'],CHEMBL1201270,['J01XX05']
Methenolone Enanthate,248271,TXUICONDJPYNPY-FRXWOFFRSA-N,CCCCCCC(=O)OC1CCC2C1(CCC3C2CCC4C3(C(=CC(=O)C4)C)C)C,CIDs00004089,,CHEMBL2106949,[]
Methicillin,6087,RJQXTJLFIWVMTO-TYNCELHUSA-N,CC1(C(N2C(S1)C(C2=O)NC(=O)C3=C(C=CC=C3OC)OC)C(=O)O)C,CIDs00006087,,CHEMBL575,['J01CF03']
Methionine,6137,FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCCC(C(=O)O)N,CIDs00000876,"['1902070M0AA', '091101000AA', '091101000BB', '0913238A0AA', '0913238A0BB']",CHEMBL42336,['V03AB26']
Methocarbamol,4107,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(COC(=O)N)O,CIDs00004107,['1002020S0AA'],CHEMBL1201117,"['M03BA53', 'M03BA03', 'M03BA73']"
Methoserpidine,71798,ULBNWNUHGJLQHO-VKMIBBQISA-N,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=C(C=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,CIDs00071798,,CHEMBL3989541,['C02AA06']
Methotrexate,126941,FBOZXECLQNJBKD-ZDUSSCGKSA-N,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,CIDs00126941,"['1001030U0AA', '0801030P0AA']",CHEMBL34259,"['L04AX03', 'L01BA01']"
Methoxamine,6082,WJAJPNHVVFWKKL-UHFFFAOYSA-N,CC(C(C1=C(C=CC(=C1)OC)OC)O)N,CIDs00688523,['0207020N0AA'],CHEMBL524,['C01CA10']
Methoxsalen,4114,QXKHYNVANLEOEG-UHFFFAOYSA-N,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,CIDs75125731,['1305020L0AA'],CHEMBL416,"['D05BA02', 'D05AD02']"
Methoxyflurane,4116,RFKMCNOHBTXSMU-UHFFFAOYSA-N,COC(C(Cl)Cl)(F)F,CIDs00004116,['1501020W0AA'],CHEMBL1341,['N02BG09']
Methyclothiazide,4121,CESYKOGBSMNBPD-UHFFFAOYSA-N,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl,CIDs00004121,,CHEMBL1577,['C03AA08']
Methyl Alcohol,887,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,CIDs11205710,,CHEMBL14688,[]
Methyl Aminolevulinate,157922,YUUAYBAIHCDHHD-UHFFFAOYSA-N,COC(=O)CCC(=O)CN,,['1308010X0AA'],CHEMBL1096562,['L01XD03']
Methyl Hydroxybenzoate,7456,LXCFILQKKLGQFO-UHFFFAOYSA-N,COC(=O)C1=CC=C(C=C1)O,CIDs58415158,,CHEMBL325372,[]
Methyl Methacrylate-Styrene Copolymer,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Methyl Nicotinate,7151,YNBADRVTZLEFNH-UHFFFAOYSA-N,COC(=O)C1=CN=CC=C1,CIDs00007151,,CHEMBL379845,[]
Methyl Salicylate,4133,OSWPMRLSEDHDFF-UHFFFAOYSA-N,COC(=O)C1=CC=CC=C1O,CIDs16216930,,CHEMBL108545,[]
Methylcellulose,51063134,YLGXILFCIXHCMC-JHGZEJCSSA-N,COCC1C(C(C(C(O1)OC2C(OC(C(C2OC)OC)OC)COC)OC)OC)OC,CIDs59904806,"['0106010H0AA', '190400000AA']",,[]
Methylchloroisothiazolinone,33344,DHNRXBZYEKSXIM-UHFFFAOYSA-N,CN1C(=O)C=C(S1)Cl,CIDs71314762,,CHEMBL1738962,[]
Methyldopa,38853,CJCSPKMFHVPWAR-JTQLQIEISA-N,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N,CIDs00004138,['0205020H0AA'],CHEMBL459,['C02AB01']
Methylephedrine,4374,FMCGSUUBYTWNDP-UHFFFAOYSA-N,CC(C(C1=CC=CC=C1)O)N(C)C,CIDs00004374,,CHEMBL4792285,[]
Methylergometrine,8226,UNBRKDKAWYKMIV-QWQRMKEZSA-N,CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,CIDs00689113,,CHEMBL1201356,['G02AB01']
Methylisothiazolinone,39800,BEGLCMHJXHIJLR-UHFFFAOYSA-N,CN1C(=O)C=CS1,CIDs00039800,,CHEMBL1620780,[]
Methylnaltrexone,5361918,JVLBPIPGETUEET-GAAHOAFPSA-O,C[N+]1(CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O)CC6CC6,CIDs49850055,['0106060A0AA'],CHEMBL1186579,[]
Methylphenidate,4158,DUGOZIWVEXMGBE-UHFFFAOYSA-N,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,CIDs00004158,"['0404000M0AA', '0404000T0AA']",CHEMBL796,['N06BA04']
Methylphenobarbital,8271,ALARQZQTBTVLJV-UHFFFAOYSA-N,CCC1(C(=O)NC(=O)N(C1=O)C)C2=CC=CC=C2,CIDs00008271,,CHEMBL45029,['N03AA01']
Methylprednisolone,6741,VHRSUDSXCMQTMA-PJHHCJLFSA-N,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,CIDs00006741,"['1001022K0AA', '0603020S0AA', '0603020K0AA', '0603020ACAA']",CHEMBL650,"['H02BX01', 'D07AA01', 'D10AA02', 'H02AB04']"
Methylrosanilinium Chloride,11057,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],,,CHEMBL64894,[]
Methylthioninium,4139,RBTBFTRPCNLSDE-UHFFFAOYSA-N,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2,CIDs00004139,,CHEMBL191083,[]
Methyprylone,4162,SIDLZWOQUZRBRU-UHFFFAOYSA-N,CCC1(C(=O)C(CNC1=O)C)CC,CIDs00004162,,CHEMBL1200790,['N05CE02']
Methysergide,9681,KPJZHOPZRAFDTN-ZRGWGRIASA-N,CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,CIDs00009681,['0407042L0AA'],CHEMBL1065,[]
Metipranolol,31477,BQIPXWYNLPYNHW-UHFFFAOYSA-N,CC1=CC(=C(C(=C1OC(=O)C)C)C)OCC(CNC(C)C)O,CIDs00031477,"['1106000U0AA', '1106000U0BC']",CHEMBL1291,"['S01ED04', 'S01ED54']"
Metirosine,441350,NHTGHBARYWONDQ-JTQLQIEISA-N,CC(CC1=CC=C(C=C1)O)(C(=O)O)N,CIDs00003125,,CHEMBL1200862,['C02KB01']
Metoclopramide,4168,TTWJBBZEZQICBI-UHFFFAOYSA-N,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,CIDs00004168,"['0406000P0AA', '0407041A0AA']",CHEMBL86,['A03FA01']
Metolazone,4170,AQCHWTWZEMGIFD-UHFFFAOYSA-N,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,CIDs00004170,['0202010V0AA'],CHEMBL878,['C03BA08']
Metoprolol,4171,IUBSYMUCCVWXPE-UHFFFAOYSA-N,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,CIDs00004171,['0204000K0AA'],CHEMBL13,['C07AB02']
Metrizamide,443944,BAQCROVBDNBEEB-UBYUBLNFSA-N,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)NC2C(C(C(OC2O)CO)O)O)I)N(C)C(=O)C)I,CIDs00035734,,CHEMBL462394,['V08AB01']
Metronidazole,4173,VAOCPAMSLUNLGC-UHFFFAOYSA-N,CC1=NC=C(N1CCO)[N+](=O)[O-],CIDs00004173,"['0501110C0AA', '1310012K0AA', '1203020J0AA', '0702020X0AA']",CHEMBL137,"['D06BX01', 'P01AB51', 'G01AF01', 'A01AB17', 'P01AB01', 'J01XD01']"
Metyrapone,4174,FJLBFSROUSIWMA-UHFFFAOYSA-N,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,CIDs00004174,['0607030M0AA'],CHEMBL934,['V04CD01']
Mexenone,71645,MJVGBKJNTFCUJM-UHFFFAOYSA-N,CC1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2)OC)O,CIDs00071645,,CHEMBL1898387,[]
Mexiletine,4178,VLPIATFUUWWMKC-UHFFFAOYSA-N,CC1=C(C(=CC=C1)C)OCC(C)N,CIDs00004178,['0203020P0AA'],CHEMBL558,['C01BB02']
Mezlocillin,656511,YPBATNHYBCGSSN-VWPFQQQWSA-N,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)NC(=O)N4CCN(C4=O)S(=O)(=O)C)C(=O)O)C,CIDs00656511,,CHEMBL1731,['J01CA10']
Mianserin,4184,UEQUQVLFIPOEMF-UHFFFAOYSA-N,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,CIDs00004184,['0403010T0AA'],CHEMBL6437,['N06AX03']
Mibefradil,60663,HBNPJJILLOYFJU-VMPREFPWSA-N,CC(C)C1C2=C(CCC1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F,CIDs58590053,,CHEMBL45816,['C08CX01']
Micafungin,477468,PIEUQSKUWLMALL-YABMTYFHSA-N,CCCCCOC1=CC=C(C=C1)C2=CC(=NO2)C3=CC=C(C=C3)C(=O)NC4CC(C(NC(=O)C5C(C(CN5C(=O)C(NC(=O)C(NC(=O)C6CC(CN6C(=O)C(NC4=O)C(C)O)O)C(C(C7=CC(=C(C=C7)O)OS(=O)(=O)O)O)O)C(CC(=O)N)O)C)O)O)O,CIDs00477468,['0502040B0AA'],CHEMBL457547,['J02AX05']
Miconazole,4189,BYBLEWFAAKGYCD-UHFFFAOYSA-N,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,CIDs00004189,"['1203020H0AA', '0702020P0AA', '1310020N0AA', '1304000ACAA', '1103020M0AA']",CHEMBL91,"['G01AF04', 'S02AA13', 'J02AB01', 'A01AB09', 'D01AC52', 'A07AC01', 'D01AC02']"
Midazolam,4192,DDLIGBOFAVUZHB-UHFFFAOYSA-N,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,CIDs00004192,"['1501041T0AA', '0408020V0AA', '0408020W0AA']",CHEMBL655,['N05CD08']
Midodrine,4195,PTKSEFOSCHHMPD-UHFFFAOYSA-N,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O,CIDs00004195,['0207020Y0AA'],CHEMBL1201212,['C01CA17']
Midostaurin,9829523,BMGQWWVMWDBQGC-IIFHNQTCSA-N,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,CIDs09829523,['0801050CKAA'],CHEMBL608533,['L01EX10']
Mifamurtide,123133557,NGIYLSFJGRLEMI-MHTUOZSYSA-M,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)C(C)NC(=O)CCC(C(=O)N)NC(=O)C(C)NC(=O)C(C)OC(C(C=O)NC(=O)C)C(C(CO)O)O)OC(=O)CCCCCCCCCCCCCCC.O.[Na+],,,,[]
Mifepristone,55245,VKHAHZOOUSRJNA-GCNJZUOMSA-N,CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O,CIDs00055245,"['0701020K0AA', '0701021A0AA']",CHEMBL1276308,"['G03XB01', 'G03XB51']"
Migalastat,176077,LXBIFEVIBLOUGU-DPYQTVNSSA-N,C1C(C(C(C(N1)CO)O)O)O,CIDs00176077,['0908010AQAA'],CHEMBL110458,['A16AX14']
Miglustat,51634,UQRORFVVSGFNRO-UTINFBMNSA-N,CCCCN1CC(C(C(C1CO)O)O)O,CIDs00051634,['0908010ACAA'],CHEMBL1029,['A16AX06']
Milrinone,4197,PZRHRDRVRGEVNW-UHFFFAOYSA-N,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,CIDs00004197,['0201020M0AA'],CHEMBL189,['C01CE02']
Minocycline,54675783,FFTVPQUHLQBXQZ-KVUCHLLUSA-N,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,CIDs54697989,"['0501030P0AA', '1203020P0AA']",CHEMBL69484,[]
Minoxidil,4201,ZIMGGGWCDYVHOY-UHFFFAOYSA-N,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,CIDs00004201,"['0205010N0AA', '1309000H0AA']",CHEMBL609587,[]
Mirabegron,9865528,PBAPPPCECJKMCM-IBGZPJMESA-N,C1=CC=C(C=C1)C(CNCCC2=CC=C(C=C2)NC(=O)CC3=CSC(=N3)N)O,CIDs09865528,['0704020AEAA'],CHEMBL2095212,['G04BD12']
Mirikizumab,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Mirtazapine,4205,RONZAEMNMFQXRA-UHFFFAOYSA-N,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,CIDs00004205,['0403040X0AA'],CHEMBL654,['N06AX11']
Misoprostol,5282381,OJLOPKGSLYJEMD-URPKTTJQSA-N,CCCCC(C)(CC=CC1C(CC(=O)C1CCCCCCC(=O)OC)O)O,CIDs05282381,"['0103040M0AA', '1001010P0AA', '0701010X0AA']",CHEMBL606,"['G02AD06', 'A02BB01']"
Mitchella Repens,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Mitomycin,5746,NWIBSHFKIJFRCO-WUDYKRTCSA-N,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,CIDs00231224,"['0801020Q0AA', '0801020Q0BB']",CHEMBL105,['L01DC03']
Mitotane,4211,JWBOIMRXGHLCPP-UHFFFAOYSA-N,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,CIDs00004211,['0801050R0AA'],CHEMBL1670,['L01XX23']
Mitozantrone,4212,KKZJGLLVHKMTCM-UHFFFAOYSA-N,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,CIDs00004212,,CHEMBL58,['L01DB07']
Mivacurium,5281042,ILVYCEVXHALBSC-OTBYEXOQSA-N,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C(=C3)OC)OC)OC)OC)OC)CCCOC(=O)CCC=CCCC(=O)OCCC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C(=C6)OC)OC)OC)OC)OC)C,CIDs05281042,['1501050K0AA'],CHEMBL1182833,[]
Mizolastine,65906,PVLJETXTTWAYEW-UHFFFAOYSA-N,CN(C1CCN(CC1)C2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F)C5=NC=CC(=O)N5,CIDs00065906,['0304010AAAA'],CHEMBL94454,['R06AX25']
Moclobemide,4235,YHXISWVBGDMDLQ-UHFFFAOYSA-N,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl,CIDs00004235,['0403020K0AA'],CHEMBL86304,['N06AG02']
Modafinil,4236,YFGHCGITMMYXAQ-UHFFFAOYSA-N,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,CIDs00004236,['0404000R0AA'],CHEMBL1373,['N06BA07']
Moexipril,91270,UWWDHYUMIORJTA-HSQYWUDLSA-N,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC(=C(C=C3CC2C(=O)O)OC)OC,CIDs71750765,['0205051C0AA'],CHEMBL1165,['C09AA13']
Mogamulizumab,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Molgramostim,No PubChem CID found,No InChI Key found,No SMILES found,,['0901060N0AA'],,
Molnupiravir,145996610,HTNPEHXGEKVIHG-QCNRFFRDSA-N,CC(C)C(=O)OCC1C(C(C(O1)N2C=CC(=NC2=O)NO)O)O,,['0503060A0AA'],CHEMBL4650320,['J05AB18']
Molybdenum,23932,ZOKXTWBITQBERF-UHFFFAOYSA-N,[Mo],CIDs00104976,,,[]
Molybdenum-99,104976,ZOKXTWBITQBERF-AKLPVKDBSA-N,[Mo],CIDs00104976,,,[]
Momelotinib,25062766,ZVHNDZWQTBEVRY-UHFFFAOYSA-N,C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=CC=C(C=C4)C(=O)NCC#N,CIDs25062766,,CHEMBL1078178,[]
Mometasone,441335,QLIIKPVHVRXHRI-CXSFZGCWSA-N,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)Cl)C,CIDs00441335,"['1304000Y0AA', '1202010U0AA', '0302000R0AA', '1202010Z0AA']",CHEMBL1201404,[]
Montelukast,5281040,UCHDWCPVSPXUMX-TZIWLTJVSA-N,CC(C)(C1=CC=CC=C1CCC(C2=CC=CC(=C2)C=CC3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,CIDs05281040,['0303020G0AA'],CHEMBL787,"['R03DC53', 'R03DC03']"
Morphine,5288826,BQJCRHHNABKAKU-KBQPJGBKSA-N,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,CIDs05288826,"['0407020Q0AA', '0407020Q0BP', '0407020P0AA', '0104020N0AA', '0407020W0AA', '0407020Q0BE', '0309020T0AA']",CHEMBL70,"['N02AA51', 'A07DA52', 'N02AA01']"
Morpholinyl Mercaptothiabendazole,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Moxifloxacin,152946,FABPRXSRWADJSP-MEDUHNTESA-N,COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,CIDm00004259,"['0501120Y0AA', '1108020U0AA']",CHEMBL32,"['J01MA14', 'S01AE07']"
Moxisylyte,4260,VRYMTAVOXVTQEF-UHFFFAOYSA-N,CC1=CC(=C(C=C1OC(=O)C)C(C)C)OCCN(C)C,CIDs00004260,['0206040AIAA'],CHEMBL159226,"['G04BE06', 'C04AX10']"
Moxonidine,4810,WPNJAUFVNXKLIM-UHFFFAOYSA-N,CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC,CIDs00004810,['0205020M0AA'],CHEMBL19236,['C02AC05']
Mucopolysaccharide Polysulphate,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Mulberry,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Mupirocin,446596,MINDHVHHQZYEEK-HBBNESRFSA-N,CC(C1C(O1)CC2COC(C(C2O)O)CC(=CC(=O)OCCCCCCCCC(=O)O)C)C(C)O,CIDs00446596,"['1202030R0AA', '1310011M0AA']",CHEMBL719,"['D06AX09', 'R01AX06']"
Murcidencel,No PubChem CID found,No InChI Key found,No SMILES found,,,,
