DDPD-ID,Drug-Name,SMILES,Molecular Weight (g/mol),C-Max Value (ng/ml),C-Max Unit,C-Max Raw Value,C-Max Annotation,C-Max (nM)
DDPD00489,Sotalol,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,272.364,6.25,null,6.25±2.19,"PO, oral; food;",22.95
DDPD00490,Buspirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,385.5031,3.5,ng/ml,1-6,Oral single dose;,9.08
DDPD00490,Buspirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,385.5031,1.66,ng/ml,1.66±0.21,"Oral single dose; Male, men; adults; normal,healthy;",4.31
DDPD00494,Entacapone,CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N,305.286,4300.0,ng/ml,4.3±2.0,"PO, oral; Male, men; normal,healthy;",14085.15
DDPD00495,Zidovudine,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,267.2413,2600.0,ng/ml,2.6,"PO, oral;",9729.04
DDPD00495,Zidovudine,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,267.2413,1600.0,ng/ml,1.6,"intravenous injection, IV;",5987.10
DDPD00497,Oxycodone,COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C,315.3636,11.5,ng/ml,11.5,"PO, oral; patients;",36.47
DDPD00497,Oxycodone,COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C,315.3636,15.1,ng/ml,15.1±4.7,"PO, oral; extended release formulation;",47.88
DDPD00497,Oxycodone,COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C,315.3636,15.5,ng/ml,15.5±4.5,"PO, oral; immediate release formulation;",49.15
DDPD00499,Flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,276.2118,110.0,ng/ml,0.11±0.21,"PO, oral; Elderly;",398.25
DDPD00499,Flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,276.2118,1600.0,ng/ml,1.6±0.59,"PO, oral; Active metabolite; Elderly;",5792.66
DDPD00501,Cimetidine,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,252.339,2500.0,ng/ml,2-3,"Oral single dose; fasting; adults; normal,healthy;",9907.31
DDPD00502,Haloperidol,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,375.864,22.0,ng/ml,22±18,"IM,intramuscular injection;",58.53
DDPD00502,Haloperidol,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,375.864,9.2,ng/ml,9.2±4.4,Oral single dose;,24.48
DDPD00503,Ritonavir,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,720.944,11000.0,ng/ml,11±4,"PO, oral;",15257.77
DDPD00512,Vancomycin,CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)C2=CC=C(OC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@H]4C[C@](C)(N)[C@H](O)[C@H](C)O4)C4=CC(=C3)[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H]1C3=CC(=C(O)C=C3)C3=C(O)C=C(O)C=C3[C@H](NC(=O)[C@@H](NC1=O)[C@H](O)C1=CC(Cl)=C(O4)C=C1)C(O)=O)C(Cl)=C2,1449.254,48500.0,ng/ml,18.5(15-25),"intravenous infusion, IV in drop;",33465.49
DDPD00512,Vancomycin,CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)C2=CC=C(OC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@H]4C[C@](C)(N)[C@H](O)[C@H](C)O4)C4=CC(=C3)[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H]1C3=CC(=C(O)C=C3)C3=C(O)C=C(O)C=C3[C@H](NC(=O)[C@@H](NC1=O)[C@H](O)C1=CC(Cl)=C(O4)C=C1)C(O)=O)C(Cl)=C2,1449.254,48500.0,ng/ml,18.5(15-25),"intravenous infusion, IV in drop; staphylococcal infections; streptococcal infections;",33465.49
DDPD00514,Dextromethorphan,[H][C@]12CCCC[C@]11CCN(C)[C@H]2CC2=C1C=C(OC)C=C2,271.404,2.9,ng/ml,2.9,"PO, oral;",10.69
DDPD00514,Dextromethorphan,[H][C@]12CCCC[C@]11CCN(C)[C@H]2CC2=C1C=C(OC)C=C2,271.404,5.2,ng/ml,5.2±1.8,"PO, oral; poor metabolizers, PM;",19.16
DDPD00514,Dextromethorphan,[H][C@]12CCCC[C@]11CCN(C)[C@H]2CC2=C1C=C(OC)C=C2,271.404,33.0,ng/ml,33±8.2,"PO, oral; extensive metabolizers, EM;",121.59
DDPD00514,Dextromethorphan,[H][C@]12CCCC[C@]11CCN(C)[C@H]2CC2=C1C=C(OC)C=C2,271.404,879.0,ng/ml,879±60,"PO, oral; Drug form; poor metabolizers, PM;",3238.71
DDPD00515,Cisplatin,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H],300.05,3400.0,ng/ml,3.4±1.1,ovarian cancer;,11331.44
DDPD00515,Cisplatin,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H],300.05,1000.0,ng/ml,1.0±0.4,ovarian cancer;,3332.78
DDPD00518,Albendazole,CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2,265.331,1150.0,ng/ml,0.50-1.8,"PO, oral;",4334.21
DDPD00520,Caspofungin,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@H](O)CCN,1093.3131,8700.0,ng/ml,8.7(7.9-9.6),"intravenous injection, IV;",7957.46
DDPD00526,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,397.294,814.0,ng/ml,0.814,"intravenous injection, IV;",2048.86
DDPD00526,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,397.294,0.33,mg Pt/ml,0.33(0.28-0.38),"intravenous infusion, IV in drop;",0.83
DDPD00526,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,397.294,0.008,mg Pt/ml,0.008(0.004-0.014),"intravenous infusion, IV in drop; Derivative;",0.02
DDPD00529,Foscarnet,OC(=O)P(O)(O)=O,126.0053,10836455.8,ng/ml,86±36,"PO, oral; severe renal function; AIDS,HIV;",86000000.00
DDPD00531,Cyclophosphamide,ClCCN(CCCl)P1(=O)NCCCO1,261.086,31591406.0,ng/ml,121±21,"intravenous injection, IV; breast cancer;",121000000.00
DDPD00535,Cefdinir,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/O)\C1=CSC(N)=N1)C(O)=O,395.414,1600.0,ng/ml,1.6,"PO, oral;",4046.39
DDPD00535,Cefdinir,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/O)\C1=CSC(N)=N1)C(O)=O,395.414,2870.0,ng/ml,2.87,"PO, oral;",7258.22
DDPD00535,Cefdinir,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/O)\C1=CSC(N)=N1)C(O)=O,395.414,2900.0,ng/ml,2.9±1.0,"Capsule, PO, Oral; adults;",7334.09
DDPD00535,Cefdinir,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/O)\C1=CSC(N)=N1)C(O)=O,395.414,3900.0,ng/ml,3.9±0.6,"Capsule, PO, Oral; Children;",9863.08
DDPD00537,Ciprofloxacin,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,331.3415,940.0,ng/ml,0.94,,2836.95
DDPD00537,Ciprofloxacin,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,331.3415,2500.0,ng/ml,2.5±1.1,"PO, oral; chronic bronchitis;",7545.09
DDPD00539,Toremifene,CN(C)CCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1,405.96,1200.0,ng/ml,1.1-1.3,"PO, oral; adults; breast cancer;",2955.96
DDPD00539,Toremifene,CN(C)CCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1,405.96,4250.0,ng/ml,2.7-5.8,"PO, oral; adults; breast cancer;",10469.01
DDPD00540,Nortriptyline,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,263.3767,36345984.6,ng/ml,138(40-350),"PO, oral; adults; normal,healthy;",138000000.00
DDPD00541,Vincristine,[H][C@@]12N3CC[C@@]11C4=C(C=C(OC)C(=C4)[C@]4(C[C@H]5C[N@](C[C@](O)(CC)C5)CCC5=C4NC4=CC=CC=C54)C(=O)OC)N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC,824.972,278.42805,ng/ml,~250-425,"intravenous injection, IV;",337.50
DDPD00542,Benazepril,[H][C@@]1(CCC2=CC=CC=C2N(CC(O)=O)C1=O)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,424.4895,127.34685,ng/ml,~300,"Oral single dose; adults; normal,healthy;",300.00
DDPD00542,Benazepril,[H][C@@]1(CCC2=CC=CC=C2N(CC(O)=O)C1=O)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,424.4895,212.24475,ng/ml,~500,"Oral single dose; Active metabolite; adults; normal,healthy;",500.00
DDPD00544,Fluorouracil,FC1=CNC(=O)NC1=O,130.0772,1456864.64,ng/ml,11.2,"intravenous infusion, IV in drop; tumor;",11200000.00
DDPD00555,Lamotrigine,NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1,256.091,2500.0,ng/ml,2.5±0.4,"Oral single dose; adults; normal,healthy;",9762.15
DDPD00557,Hydroxyzine,OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,374.904,72.0,ng/ml,72±11,"PO, oral; Elderly; normal,healthy;",192.05
DDPD00557,Hydroxyzine,OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,374.904,47.0,ng/ml,47±17,"PO, oral; Children; normal,healthy;",125.37
DDPD00563,Methotrexate,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,454.4393,499883.23,ng/ml,1.1±0.2,"subcutaneous injection, SC; patients;",1100000.00
DDPD00563,Methotrexate,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,454.4393,30901872.4,ng/ml,37-99,"intravenous injection, IV;",68000000.00
DDPD00564,Carbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,236.2686,1900.0,ng/ml,1.9±0.3,"PO, oral; extended release formulation;",8041.69
DDPD00564,Carbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,236.2686,11000.0,ng/ml,11.0±2.5,Oral multiple dose;,46557.18
DDPD00564,Carbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,236.2686,9300.0,ng/ml,9.3(2-18),"PO, oral; immediate release formulation; adults; epilepsy;",39361.98
DDPD00567,Cephalexin,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,347.389,7700.0,ng/ml,7.7,,22165.35
DDPD00567,Cephalexin,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,347.389,12300.0,ng/ml,12.3,,35406.99
DDPD00567,Cephalexin,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,347.389,28000.0,ng/ml,28±6.4,"Oral single dose; Male, men; adults; normal,healthy;",80601.29
DDPD00571,Propranolol,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,259.3434,18.0,ng/ml,18±15,"PO, oral;",69.41
DDPD00571,Propranolol,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,259.3434,52.0,ng/ml,52±51,"PO, oral;",200.51
DDPD00571,Propranolol,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,259.3434,121.0,ng/ml,121±98,"PO, oral;",466.56
DDPD00571,Propranolol,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,259.3434,245.0,ng/ml,245±110,"PO, oral;",944.69
DDPD00571,Propranolol,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,259.3434,49.0,ng/ml,49±8,"Oral single dose; adults; normal,healthy;",188.94
DDPD00571,Propranolol,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,259.3434,37.0,ng/ml,37±9,"Oral single dose; Active metabolite; adults; normal,healthy;",142.67
DDPD00572,Atropine,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,289.3694,2.6,ng/ml,2.6±0.5,"IM,intramuscular injection; adults; normal,healthy;",8.99
DDPD00573,Fenoprofen,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,242.2699,50000.0,ng/ml,50.0,Oral single dose;,206381.40
DDPD00574,Fenfluramine,CCNC(C)CC1=CC=CC(=C1)C(F)(F)F,231.2573,68.0,ng/ml,68.0,"PO, oral; Children;",294.04
DDPD00575,Clonidine,ClC1=CC=CC(Cl)=C1NC1=NCCN1,230.094,0.40072,ng/ml,400.72,"Tablet, PO, oral;",1.74
DDPD00575,Clonidine,ClC1=CC=CC(Cl)=C1NC1=NCCN1,230.094,0.8,ng/ml,0.8,"PO, oral;",3.48
DDPD00575,Clonidine,ClC1=CC=CC(Cl)=C1NC1=NCCN1,230.094,0.35,ng/ml,0.3-0.4,Transdermal preparations;,1.52
DDPD00577,Valaciclovir,CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1NC(N)=NC2=O,324.3357,560.0,ng/ml,≤0.56,"Oral single dose; adults; normal,healthy;",1726.61
DDPD00577,Valaciclovir,CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1NC(N)=NC2=O,324.3357,4800.0,ng/ml,4.8±1.5,"Oral single dose; adults; normal,healthy;",14799.48
DDPD00582,Voriconazole,C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,349.3105,2356.0,ng/ml,2356.0,"PO, oral;",6744.72
DDPD00582,Voriconazole,C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,349.3105,3621.0,ng/ml,3621.0,"intravenous injection, IV;",10366.14
DDPD00584,Enalapril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O,376.4467,69.0,ng/ml,69±37,"PO, oral; young; normal,healthy;",183.29
DDPD00586,Diclofenac,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,296.149,2000.0,ng/ml,2.0(1.4-3.0),"Tablet, PO, oral; extended release formulation; adults; normal,healthy;",6753.36
DDPD00586,Diclofenac,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,296.149,420.0,ng/ml,0.42±0.17,"Tablet, PO, oral; Sustained Release formulation; adults; normal,healthy;",1418.21
DDPD00601,Linezolid,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1,337.3461,16000.0,ng/ml,16±4,"PO, oral;",47429.04
DDPD00601,Linezolid,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1,337.3461,15000.0,ng/ml,15±3,"intravenous injection, IV; gram-positive infection;",44464.72
DDPD00602,Ivermectin,CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)O[C@H]1[C@H](C)O[C@H](C[C@@H]1OC)O[C@H]1[C@@H](C)\C=C\C=C2/CO[C@@H]3[C@H](O)C(C)=C[C@@H](C(=O)O[C@H]4C[C@@H](C\C=C1/C)O[C@@]1(CC[C@H](C)[C@@H](C(C)C)O1)C4)[C@]23O.CC[C@@H](C)[C@H]1O[C@@]2(CC[C@@H]1C)O[C@@H]1C\C=C(C)\[C@@H](O[C@@H]3O[C@@H](C)[C@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](OC)C4)[C@@H](OC)C3)[C@@H](C)\C=C\C=C3/CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O[C@@H](C1)C2)[C@]34O,1736.1589,38.2,ng/ml,38.2±5.8,onchocerciasis;,22.00
DDPD00603,Medroxyprogesterone acetate,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,386.5244,88.900612,ng/ml,145-315,"PO, oral;",230.00
DDPD00603,Medroxyprogesterone acetate,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,386.5244,40.7783242,ng/ml,33-178,"PO, oral;",105.50
DDPD00603,Medroxyprogesterone acetate,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,386.5244,1.812799436,ng/ml,4.69±1.52,"IM,intramuscular injection;",4.69
DDPD00603,Medroxyprogesterone acetate,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,386.5244,1.480388452,ng/ml,3.83±1.56,"subcutaneous injection, SC;",3.83
DDPD00607,Nafcillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(OCC)C=CC2=CC=CC=C12)C(O)=O,414.475,30000.0,ng/ml,30.0,"intravenous injection, IV;",72380.72
DDPD00608,Chloroquine,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,319.872,975.0,ng/ml,650-1300,"intravenous injection, IV;",3048.09
DDPD00608,Chloroquine,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,319.872,96.5,ng/ml,65-128,"PO, oral;",301.68
DDPD00608,Chloroquine,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,319.872,76.0,ng/ml,76±14,"PO, oral;",237.60
DDPD00608,Chloroquine,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,319.872,268.5,ng/ml,57-480,"IM,intramuscular injection;",839.40
DDPD00608,Chloroquine,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,319.872,837.0,ng/ml,837±248,"adults; normal,healthy;",2616.67
DDPD00611,Butorphanol,[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1,327.4605,1.4,ng/ml,1.4±0.6,nasal spray;,4.28
DDPD00612,Bisoprolol,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,325.443,64.0,ng/ml,64±21,Oral multiple dose;,196.66
DDPD00619,Imatinib,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1,493.6027,2600.0,ng/ml,2.6±0.8,"PO, oral;",5267.39
DDPD00620,Triamcinolone,[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,394.4339,5.23,ng/ml,5.23±0.84,"PO, oral;",13.26
DDPD00620,Triamcinolone,[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,394.4339,0.92,ng/ml,0.92,"inhalation, IH;",2.33
DDPD00620,Triamcinolone,[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,394.4339,5.33,ng/ml,5.33±1.55,"PO, oral;",13.51
DDPD00623,Fluphenazine,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,437.522,2.3,ng/ml,2.3±2.1,"PO, oral; immediate release formulation;",5.26
DDPD00623,Fluphenazine,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,437.522,1.3,ng/ml,1.3,"IM,intramuscular injection; Drug form;",2.97
DDPD00623,Fluphenazine,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,437.522,1.1,ng/ml,1.1,"IM,intramuscular injection; Drug form;",2.51
DDPD00624,Testosterone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,288.4244,57300.0,ng/ml,573±284,,198665.58
DDPD00625,Efavirenz,FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,315.675,4000.0,ng/ml,4.0±1.7,"PO, oral;",12671.26
DDPD00627,Niacin,OC(=O)C1=CN=CC=C1,123.1094,60.0,ng/ml,0.06,"PO, oral; RD, renal impairment, Renal disease，including uremia;",487.37
DDPD00627,Niacin,OC(=O)C1=CN=CC=C1,123.1094,2420.0,ng/ml,2.42,"PO, oral; RD, renal impairment, Renal disease，including uremia;",19657.31
DDPD00627,Niacin,OC(=O)C1=CN=CC=C1,123.1094,4220.0,ng/ml,4.22,"PO, oral; RD, renal impairment, Renal disease，including uremia;",34278.45
DDPD00627,Niacin,OC(=O)C1=CN=CC=C1,123.1094,600.0,ng/ml,0.6,"PO, oral; extended release formulation;",4873.71
DDPD00627,Niacin,OC(=O)C1=CN=CC=C1,123.1094,15500.0,ng/ml,15.5,"PO, oral; extended release formulation;",125904.28
DDPD00628,Clorazepic acid,OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,314.723,275.0,ng/ml,275±27,"IM,intramuscular injection; Drug form;",873.78
DDPD00630,Alendronic acid,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,249.096,275.0,ng/ml,~275,postmenopausal women;,1103.99
DDPD00630,Alendronic acid,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,249.096,6.7,ng/ml,<5-8.4,"PO, oral; postmenopausal women;",26.90
DDPD00635,Prednisone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,358.4281,71.5,ng/ml,62-81,"Oral single dose; adults; normal,healthy;",199.48
DDPD00635,Prednisone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,358.4281,218.5,ng/ml,198-239,"Oral single dose; Active metabolite; adults; normal,healthy;",609.61
DDPD00641,Simvastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC,418.5662,9.83,ng/ml,9.83,,23.48
DDPD00641,Simvastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC,418.5662,46.0,ngEq/ml,46±20,"PO, oral; Active metabolite; adults; normal,healthy;",109.90
DDPD00641,Simvastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC,418.5662,56.0,ngEq/ml,56±25,"PO, oral; Active metabolite; adults; normal,healthy;",133.79
DDPD00654,Latanoprost,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1,432.5928,0.053,ng/ml,53.0,ophthalmic administration;,0.12
DDPD00656,Trazodone,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,371.864,1470.0,ng/ml,1.47±0.16,"PO, oral; food;",3953.06
DDPD00656,Trazodone,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,371.864,1880.0,ng/ml,1.88±0.42,"PO, oral; fasting;",5055.61
DDPD00656,Trazodone,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,371.864,1500.0,ng/ml,1.5±0.2,"Capsule, PO, Oral; food; adults; normal,healthy;",4033.73
DDPD00660,Metaxalone,CC1=CC(OCC2CNC(=O)O2)=CC(C)=C1,221.2524,1700.0,ng/ml,1.7,Oral single dose; fasting;,7683.53
DDPD00660,Metaxalone,CC1=CC(OCC2CNC(=O)O2)=CC(C)=C1,221.2524,4900.0,ng/ml,4.9,Oral single dose; food;,22146.65
DDPD00661,Verapamil,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,454.6016,262.5,ng/ml,125-400,"PO, oral; immediate release formulation;",577.43
DDPD00661,Verapamil,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,454.6016,77.8,ng/ml,77.8,"PO, oral; Optical rotation R;",171.14
DDPD00661,Verapamil,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,454.6016,16.8,ng/ml,16.8,"PO, oral; Optical rotation S;",36.96
DDPD00661,Verapamil,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,454.6016,272.0,ng/ml,272.0,"Tablet, PO, oral; immediate release formulation; adults; normal,healthy;",598.33
DDPD00661,Verapamil,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,454.6016,141.5,ng/ml,118-165,"Tablet, PO, oral; extended release formulation; adults; normal,healthy;",311.26
DDPD00669,Sumatriptan,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1,295.4,69.5,ng/ml,69.5（62.8-76.9）,"subcutaneous injection, SC;",235.27
DDPD00669,Sumatriptan,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1,295.4,16.5,ng/ml,16.5(13.5-20.1),"PO, oral;",55.86
