,Drug ID,Drug Name,CAS No.,# Properties,# Property Values,,
960,DDPD01121,Phenacemide,63-98-9,6,11,,
961,DDPD01122,Ambenonium,7648-98-8,2,3,,
962,DDPD01123,Proflavine,92-62-6,4,4,,
963,DDPD01124,Tolbutamide,64-77-7,15,23,,
964,DDPD01125,Anisindione,117-37-3,3,3,,
965,DDPD01126,Dutasteride,164656-23-9,11,14,,
966,DDPD01127,Econazole,27220-47-9,3,10,,
967,DDPD01128,Bicalutamide,90357-06-5,11,20,,
968,DDPD01129,Rabeprazole,117976-89-3,8,21,,
969,DDPD01130,Prednicarbate,73771-04-7,1,1,,
970,DDPD01131,Proguanil,500-92-5,5,5,,
971,DDPD01132,Pioglitazone,111025-46-8,12,28,,
972,DDPD01133,Tiludronic acid,89987-06-4,10,12,,
973,DDPD01135,Doxacurium,106791-39-3,4,13,,
974,DDPD01136,Carvedilol,72956-09-3,13,43,,
975,DDPD01137,Levofloxacin,100986-85-4,15,55,,
976,DDPD01138,Sulfinpyrazone,57-96-5,8,9,,
977,DDPD01139,Cefapirin,21593-23-7,4,4,,
978,DDPD01140,Cefadroxil,50370-12-2,9,18,,
979,DDPD01141,Micafungin,235114-32-6,11,41,,
980,DDPD01142,Doxepin,1668-19-5,15,37,,
981,DDPD01143,Amifostine,20537-88-6,7,9,,
982,DDPD01144,Diclofenamide,120-97-8,3,3,,
983,DDPD01145,Sulfoxone,144-76-3,4,4,,
984,DDPD01146,Diphenylpyraline,147-20-6,3,3,,
985,DDPD01147,Cloxacillin,61-72-3,5,6,,
986,DDPD01148,Flavoxate,15301-69-6,6,7,,
987,DDPD01149,Nefazodone,83366-66-9,10,15,,
988,DDPD01150,Cefprozil,92665-29-7,9,16,,
989,DDPD01151,Desipramine,50-47-5,15,24,,
990,DDPD01152,Candicidin,1403-17-4,1,1,,
991,DDPD01153,Sertaconazole,99592-32-2,3,3,,
992,DDPD01154,Thiamylal,77-27-0,7,7,,
993,DDPD01155,Gemifloxacin,175463-14-6,9,10,,
994,DDPD01156,Bupropion,34911-55-2,11,43,,
995,DDPD01157,Trimetrexate,52128-35-5,10,17,,
996,DDPD01158,Bretylium,59-41-6,4,5,,
997,DDPD01159,Halothane,151-67-7,5,5,,
998,DDPD01160,Dinoprost tromethamine,38562-01-5,4,5,,
999,DDPD01161,Chloroprocaine,133-16-4,6,22,,
1000,DDPD01162,Terazosin,63590-64-7,11,25,,
1001,DDPD01164,Calcium chloride,10043-52-4,2,2,,
1002,DDPD01165,Ofloxacin,82419-36-1,11,14,,
1003,DDPD01166,Cilostazol,73963-72-1,7,10,,
1004,DDPD01167,Itraconazole,84625-61-6,12,38,,
1005,DDPD01168,Procarbazine,671-16-9,7,9,,
1006,DDPD01169,Arsenic trioxide,1327-53-3,6,14,,
1007,DDPD01170,Guanethidine,55-65-2,6,6,,
1008,DDPD01171,Moclobemide,71320-77-9,15,23,,
1009,DDPD01172,Kanamycin,59-01-8,6,9,,
1010,DDPD01173,Orphenadrine,83-98-7,9,15,,
1011,DDPD01174,Phenobarbital,50-06-6,13,30,,
1012,DDPD01175,Escitalopram,128196-01-0,14,24,,
1013,DDPD01176,Cyclizine,82-92-8,6,7,,
1014,DDPD01177,Idarubicin,58957-92-9,10,22,,
1015,DDPD01178,Chlormezanone,80-77-3,3,3,,
1016,DDPD01179,Podofilox,518-28-5,7,14,,
1017,DDPD01180,Rescinnamine,24815-24-5,2,2,,
1018,DDPD01181,Ifosfamide,3778-73-2,13,35,,
1019,DDPD01182,Propafenone,54063-53-5,8,17,,
1020,DDPD01183,Naloxone,465-65-6,10,23,,
1021,DDPD01184,Domperidone,57808-66-9,8,9,,
1022,DDPD01185,Fluoxymesterone,76-43-7,7,10,,
1023,DDPD01186,Pergolide,66104-22-1,5,6,,
1024,DDPD01187,Iophendylate,99-79-6,2,2,,
1025,DDPD01188,Ciclopirox,29342-05-0,6,7,,
1026,DDPD01189,Desflurane,57041-67-5,4,4,,
1027,DDPD01190,Clindamycin,18323-44-9,14,107,,
1028,DDPD01191,Dexfenfluramine,3239-44-9,5,6,,
1029,DDPD01192,Oxymorphone,76-41-5,8,14,,
1030,DDPD01193,Acebutolol,37517-30-9,10,12,,
1031,DDPD01194,Brinzolamide,138890-62-7,5,6,,
1032,DDPD01195,Flecainide,54143-55-4,15,43,,
1033,DDPD01196,Estramustine,2998-57-4,4,5,,
1034,DDPD01197,Captopril,62571-86-2,8,19,,
1035,DDPD01198,Zopiclone,43200-80-2,8,11,,
1036,DDPD01199,Tubocurarine,57-95-4,3,4,,
1037,DDPD01200,Bromocriptine,25614-03-3,10,21,,
1038,DDPD01201,Rifapentine,61379-65-5,6,17,,
1039,DDPD01202,Levetiracetam,102767-28-2,15,56,,
1040,DDPD01203,Nadolol,42200-33-9,18,29,,
1041,DDPD01204,Mitoxantrone,65271-80-9,8,18,,
1042,DDPD01205,Flumazenil,78755-81-4,12,47,,
1043,DDPD01206,Lomustine,13010-47-4,8,16,,
1044,DDPD01208,Sparfloxacin,110871-86-8,6,8,,
1045,DDPD01209,Dezocine,53648-55-8,5,9,,
1046,DDPD01210,Levobunolol,47141-42-4,6,9,,
1047,DDPD01211,Clarithromycin,81103-11-9,13,31,,
1048,DDPD01212,Ceftriaxone,73384-59-5,10,21,,
1049,DDPD01213,Fomepizole,7554-65-6,8,9,,
1050,DDPD01214,Metipranolol,22664-55-7,4,5,,
1051,DDPD01215,Estazolam,29975-16-4,9,13,,
1052,DDPD01216,Finasteride,98319-26-7,14,32,,
1053,DDPD01217,Anastrozole,120511-73-1,12,18,,
1054,DDPD01218,Halofantrine,69756-53-2,3,3,,
1055,DDPD01219,Dantrolene,7261-97-4,8,10,,
1056,DDPD01220,Rifaximin,80621-81-4,5,13,,
1057,DDPD01221,Ketamine,6740-88-1,10,15,,
1058,DDPD01222,Budesonide,51333-22-3,15,51,,
1059,DDPD01223,Aminophylline,317-34-0,6,19,,
1060,DDPD01224,Quetiapine,111974-69-7,17,30,,
1061,DDPD01225,Enoxaparin,9005-49-6,10,14,,
1062,DDPD01226,Mivacurium,133814-19-4,1,2,,
1063,DDPD01227,Levacetylmethadol,1477-40-3,4,4,,
1064,DDPD01228,Encainide,66778-36-7,4,5,,
1065,DDPD01229,Paclitaxel,33069-62-4,11,27,,
1066,DDPD01230,Pemoline,2152-34-3,5,5,,
1067,DDPD01231,Diphenidol,972-02-1,3,3,,
1068,DDPD01232,Saquinavir,127779-20-8,13,25,,
1069,DDPD01233,Metoclopramide,364-62-5,17,54,,
1070,DDPD01234,Dexamethasone,50-02-2,14,27,,
1071,DDPD01235,Levodopa,59-92-7,14,40,,
1072,DDPD01236,Sevoflurane,28523-86-6,7,9,,
1073,DDPD01237,Bromodiphenhydramine,118-23-0,3,3,,
1074,DDPD01238,Aripiprazole,129722-12-9,12,56,,
1075,DDPD01239,Chlorprothixene,113-59-7,6,7,,
1076,DDPD01240,Epoprostenol,35121-78-9,3,4,,
1077,DDPD01241,Gemfibrozil,25812-30-0,13,36,,
1078,DDPD01242,Clomipramine,303-49-1,14,23,,
1079,DDPD01243,Chloroxine,773-76-2,2,2,,
1080,DDPD01244,Bepridil,64706-54-3,7,8,,
1081,DDPD01245,Decamethonium,156-74-1,2,2,,
1082,DDPD01246,Alimemazine,84-96-8,5,5,,
1083,DDPD01247,Isocarboxazid,59-63-2,8,11,,
1084,DDPD01248,Docetaxel,114977-28-5,10,29,,
1085,DDPD01249,Iodixanol,92339-11-2,5,8,,
1086,DDPD01250,Olsalazine,15722-48-2,9,12,,
1087,DDPD01251,Gliquidone,33342-05-1,3,3,,
1088,DDPD01253,Ergometrine,60-79-7,6,7,,
1089,DDPD01254,Dasatinib,302962-49-8,6,21,,
1090,DDPD01255,Lisdexamfetamine,608137-32-2,10,21,,
1091,DDPD01256,Retapamulin,224452-66-8,3,7,,
1092,DDPD01259,Lapatinib,231277-92-2,4,6,,
1093,DDPD01260,Desonide,638-94-8,3,12,,
1094,DDPD01261,Sitagliptin,486460-32-6,9,15,,
1095,DDPD01262,Decitabine,2353-33-5,5,13,,
1096,DDPD01263,Posaconazole,171228-49-2,9,31,,
1097,DDPD01264,Darunavir,206361-99-1,12,28,,
1098,DDPD01265,Telbivudine,3424-98-4,6,11,,
1099,DDPD01266,Sinecatechins,188265-33-0,1,2,,
1100,DDPD01267,Paliperidone,144598-75-4,8,18,,
1101,DDPD01268,Sunitinib,557795-19-4,11,17,,
1102,DDPD01273,Varenicline,249296-44-4,6,8,,
1103,DDPD01274,Arformoterol,67346-49-0,7,9,,
1104,DDPD01275,Hydralazine,86-54-4,14,38,,
1105,DDPD01278,Pramlintide,151126-32-8,5,7,,
1106,DDPD01280,Nelarabine,121032-29-9,7,14,,
1107,DDPD01282,Carbetocin,37025-55-1,3,3,,
1108,DDPD01283,Lumiracoxib,220991-20-8,5,8,,
1109,DDPD01284,Tetracosactide,16960-16-0,2,11,,
1110,DDPD01288,Fenoterol,13392-18-2,4,4,,
1111,DDPD01291,Pirbuterol,38677-81-5,1,1,,
1112,DDPD01294,Bismuth subsalicylate,14882-18-9,1,1,,
1113,DDPD01296,Glucosamine,3416-24-8,1,1,,
1114,DDPD01297,Practolol,6673-35-4,5,5,,
1115,DDPD01298,Sulfacytine,17784-12-2,2,2,,
1116,DDPD01299,Sulfadoxine,2447-57-6,2,2,,
1117,DDPD01301,Rolitetracycline,751-97-3,5,5,,
1118,DDPD01303,Oxtriphylline,4499-40-5,4,8,,
1119,DDPD01319,Fosamprenavir,226700-79-4,3,24,,
1120,DDPD01320,Fosphenytoin,93390-81-9,5,10,,
1121,DDPD01322,Kava,9000-38-8,1,1,,
1122,DDPD01324,Polythiazide,346-18-9,2,2,,
1123,DDPD01325,Quinethazone,73-49-4,2,2,,
1124,DDPD01326,Cefamandole,34444-01-4,6,8,,
1125,DDPD01327,Cefazolin,25953-19-9,11,36,,
1126,DDPD01328,Cefonicid,61270-58-4,5,6,,
1127,DDPD01329,Cefoperazone,62893-19-0,5,6,,
1128,DDPD01330,Cefotetan,69712-56-7,8,27,,
1129,DDPD01331,Cefoxitin,35607-66-0,8,11,,
1130,DDPD01332,Ceftizoxime,68401-81-0,6,8,,
1131,DDPD01333,Cefradine,38821-53-3,3,3,,
1132,DDPD01336,Metocurine,5152-30-7,3,3,,
1133,DDPD01337,Pancuronium,16974-53-1,8,15,,
1134,DDPD01338,Pipecuronium,68399-58-6,3,7,,
1135,DDPD01339,Vecuronium,86029-43-8,8,12,,
1136,DDPD01340,Cilazapril,88768-40-5,7,9,,
1137,DDPD01344,Tolevamer,28210-41-5,2,2,,
1138,DDPD01345,Potassium cation,24203-36-9,3,3,,
1139,DDPD01348,Spirapril,83647-97-6,4,5,,
1140,DDPD01351,Amobarbital,57-43-2,6,7,,
1141,DDPD01353,Butobarbital,77-28-1,7,7,,
1142,DDPD01357,Mestranol,72-33-3,1,1,,
1143,DDPD01359,Penbutolol,38363-40-5,5,8,,
1144,DDPD01362,Iohexol,66108-95-0,5,9,,
1145,DDPD01364,Ephedrine,299-42-3,14,18,,
1146,DDPD01365,Mephentermine,100-92-5,2,2,,
1147,DDPD01367,Rasagiline,136236-51-6,6,10,,
1148,DDPD01369,Quinupristin,120138-50-3,3,4,,
1149,DDPD01370,Aluminium,7429-90-5,2,5,,
1150,DDPD01378,Magnesium cation,22537-22-0,2,2,,
1151,DDPD01380,Cortisone acetate,50-04-4,3,3,,
1152,DDPD01382,Glymidine,339-44-6,4,4,,
1153,DDPD01390,Sodium bicarbonate,144-55-8,3,3,,
1154,DDPD01392,Yohimbine,146-48-5,6,7,,
1155,DDPD01393,Bezafibrate,41859-67-0,4,4,,
1156,DDPD01394,Colchicine,64-86-8,16,30,,
1157,DDPD01395,Drospirenone,67392-87-4,14,20,,
1158,DDPD01396,Digitoxin,71-63-6,6,6,,
1159,DDPD01399,Salsalate,552-94-3,3,6,,
1160,DDPD01400,Neostigmine,59-99-4,8,30,,
1161,DDPD01403,Methotrimeprazine,60-99-1,6,6,,
1162,DDPD01406,Danazol,17230-88-5,6,8,,
1163,DDPD01407,Clenbuterol,37148-27-9,3,3,,
1164,DDPD01409,Tiotropium,186691-13-4,10,24,,
1165,DDPD01410,Ciclesonide,126544-47-6,6,21,,
1166,DDPD01413,Cefepime,88040-23-7,8,36,,
1167,DDPD01415,Ceftibuten,97519-39-6,4,10,,
1168,DDPD01416,Cefpodoxime,80210-62-4,5,13,,
1169,DDPD01418,Acenocoumarol,152-72-7,9,13,,
1170,DDPD01419,Antrafenine,55300-29-3,1,1,,
1171,DDPD01420,Testosterone propionate,57-85-2,8,9,,
1172,DDPD01421,Paromomycin,7542-37-2,2,8,,
1173,DDPD01424,Aminophenazone,58-15-1,6,6,,
1174,DDPD01426,Ajmaline,4360-12-7,7,7,,
1175,DDPD01427,Amrinone,60719-84-8,5,7,,
1176,DDPD01428,Oxybenzone,131-57-7,3,3,,
1177,DDPD01430,Almitrine,27469-53-0,4,4,,
1178,DDPD01432,Cholestyramine,11041-12-6,2,7,,
1179,DDPD01435,Antipyrine,60-80-0,9,9,,
1180,DDPD01436,Alfacalcidol,41294-56-8,3,3,,
1181,DDPD01437,Glutethimide,77-21-4,7,7,,
1182,DDPD01438,Phenazopyridine,94-78-0,13,20,,
1183,DDPD01440,gamma-Hydroxybutyric acid,591-81-1,4,5,,
1184,DDPD01452,Diamorphine,561-27-3,11,15,,
1185,DDPD01495,Dichloralphenazone,480-30-8,1,1,,
1186,DDPD01501,Difenoxin,28782-42-5,2,3,,
1187,DDPD01544,Flunitrazepam,1622-62-4,6,8,,
1188,DDPD01551,Dihydrocodeine,125-28-0,8,13,,
1189,DDPD01558,Bromazepam,1812-30-2,7,10,,
1190,DDPD01559,Clotiazepam,33671-46-4,4,4,,
1191,DDPD01563,Chloral hydrate,302-17-0,4,4,,
1192,DDPD01576,Dextroamphetamine,51-64-9,11,25,,
1193,DDPD01577,Metamfetamine,537-46-2,6,12,,
1194,DDPD01579,Phendimetrazine,634-03-7,5,9,,
1195,DDPD01580,Oxprenolol,6452-71-7,6,7,,
1196,DDPD01581,Sulfamerazine,127-79-7,3,3,,
1197,DDPD01582,Sulfamethazine,57-68-1,4,4,,
1198,DDPD01586,Ursodeoxycholic acid,128-13-2,5,11,,
1199,DDPD01587,Ketazolam,27223-35-4,2,2,,
1200,DDPD01588,Prazepam,2955-38-6,3,3,,
1201,DDPD01589,Quazepam,36735-22-5,5,6,,
1202,DDPD01590,Everolimus,159351-69-6,6,19,,
1203,DDPD01591,Solifenacin,242478-37-1,11,30,,
1204,DDPD01592,Iron,7439-89-6,3,4,,
1205,DDPD01593,Zinc,7440-66-6,8,12,,
1206,DDPD01595,Nitrazepam,146-22-5,7,8,,
1207,DDPD01597,Cilastatin,82009-34-5,8,24,,
1208,DDPD01598,Imipenem,64221-86-9,10,26,,
1209,DDPD01599,Probucol,23288-49-5,3,3,,
1210,DDPD01600,Tiaprofenic acid,33005-95-7,6,7,,
1211,DDPD01601,Lopinavir,192725-17-0,9,19,,
1212,DDPD01602,Bacampicillin,50972-17-3,1,1,,
1213,DDPD01603,Meticillin,61-32-5,5,5,,
1214,DDPD01604,Pivampicillin,33817-20-8,1,1,,
1215,DDPD01605,Pivmecillinam,32886-97-8,1,1,,
1216,DDPD01606,Tazobactam,89786-04-9,12,17,,
1217,DDPD01607,Ticarcillin,34787-01-4,4,5,,
1218,DDPD01608,Periciazine,2622-26-6,4,4,,
1219,DDPD01609,Deferasirox,201530-41-8,10,20,,
1220,DDPD01610,Valganciclovir,175865-60-8,8,26,,
1221,DDPD01611,Hydroxychloroquine,118-42-3,11,74,,
1222,DDPD01612,Amyl Nitrite,8017-89-8,1,1,,
1223,DDPD01613,Erythrityl tetranitrate,7297-25-8,1,1,,
1224,DDPD01616,Alverine,150-59-4,3,4,,
1225,DDPD01618,Molindone,7416-34-4,2,5,,
1226,DDPD01619,Phenindamine,82-88-2,1,1,,
1227,DDPD01620,Pheniramine,86-21-5,5,5,,
1228,DDPD01623,Thiothixene,3313-26-6,2,5,,
1229,DDPD01624,Zuclopenthixol,53772-83-1,6,7,,
1230,DDPD01625,Isopropamide,7492-32-2,1,1,,
1231,DDPD01627,Lincomycin,154-21-2,8,17,,
1232,DDPD01628,Etoricoxib,202409-33-4,5,6,,
1233,DDPD01638,Sorbitol,50-70-4,6,6,,
1234,DDPD01656,Roflumilast,162401-32-3,10,16,,
1235,DDPD01698,Rutin,153-18-4,2,2,,
1236,DDPD01708,Prasterone,53-43-0,8,9,,
1237,DDPD01718,Cetrimonium,6899-10-1,2,2,,
1238,DDPD01744,Camphor,464-49-3,4,4,,
1239,DDPD01764,Dalfopristin,112362-50-2,3,4,,
1240,DDPD01783,Pantothenic acid,79-83-4,1,1,,
1241,DDPD01839,Propylene glycol,57-55-6,6,6,,
1242,DDPD01914,D-glucose,50-99-7,7,11,,
1243,DDPD01956,Taurine,107-35-7,10,18,,
1244,DDPD02266,Flufenamic acid,530-78-9,3,3,,
1245,DDPD02300,Calcipotriol,112965-21-6,2,4,,
1246,DDPD02325,Isopropyl alcohol,67-63-0,6,45,,
1247,DDPD02362,Aminobenzoic acid,150-13-0,5,5,,
1248,DDPD02513,Thymol,89-83-8,5,5,,
1249,DDPD02546,Vorinostat,149647-78-9,7,8,,
1250,DDPD02638,Terlipressin,14636-12-5,4,4,,
1251,DDPD02659,Cholic Acid,81-25-4,6,16,,
1252,DDPD02701,Nicotinamide,98-92-0,6,6,,
1253,DDPD02703,Fusidic acid,6990-06-3,5,6,,
1254,DDPD02772,Sucrose,57-50-1,5,5,,
1255,DDPD02893,D-Methionine,348-67-4,1,1,,
1256,DDPD02925,Piretanide,55837-27-9,4,4,,
1257,DDPD02959,Oxitriptan,4350-09-8,1,1,,
1258,DDPD03017,Lauric acid,143-07-7,6,6,,
1259,DDPD03085,Glycolic acid,79-14-1,5,6,,
1260,DDPD03088,Pidolic acid,98-79-3,5,5,,
1261,DDPD03147,Flavin adenine dinucleotide,146-14-5,1,2,,
1262,DDPD03166,Acetic acid,64-19-7,8,10,,
1263,DDPD03175,Propyl alcohol,71-23-8,5,5,,
1264,DDPD03193,Stearic acid,57-11-4,5,8,,
1265,DDPD03209,Oteracil,937-13-3,4,10,,
1266,DDPD03255,Phenol,108-95-2,8,16,,
1267,DDPD03585,Oxyphenbutazone,129-20-4,4,4,,
1268,DDPD03614,Mecobalamin,13422-55-4,1,2,,
1269,DDPD03615,Ribostamycin,25546-65-0,5,5,,
1270,DDPD03619,Deoxycholic acid,83-44-3,4,4,,
1271,DDPD03756,Doconexent,6217-54-5,2,3,,
1272,DDPD03766,Propanoic acid,79-09-4,7,8,,
1273,DDPD03793,Benzoic acid,65-85-0,6,6,,
1274,DDPD03796,Palmitic Acid,57-10-3,7,7,,
1275,DDPD03843,Formaldehyde,50-00-0,7,20,,
1276,DDPD03904,Urea,57-13-6,7,15,,
1277,DDPD03929,D-Serine,312-84-5,2,2,,
1278,DDPD04038,Ergosterol,57-87-4,1,1,,
1279,DDPD04115,Berberine,2086-83-1,1,1,,
1280,DDPD04160,Pyrophosphoric acid,2466-09-3,1,1,,
1281,DDPD04173,Fructose,0,1,1,,
1282,DDPD04209,Dequalinium,6707-58-0,3,4,,
1283,DDPD04224,Oleic Acid,112-80-1,5,7,,
1284,DDPD04272,Citric acid,77-92-9,6,7,,
1285,DDPD04348,Taurocholic acid,81-24-3,1,1,,
1286,DDPD04398,Lactic acid,50-21-5,5,5,,
1287,DDPD04465,Lactose,63-42-3,2,2,,
1288,DDPD04540,Cholesterol,57-88-5,3,3,,
1289,DDPD04564,Gluconolactone,90-80-2,1,1,,
1290,DDPD04570,Latamoxef,64952-97-2,5,5,,
1291,DDPD04571,Trioxsalen,3902-71-4,1,1,,
1292,DDPD04572,Thiotepa,52-24-4,8,18,,
1293,DDPD04573,Estriol,50-27-1,3,4,,
1294,DDPD04574,Estrone sulfate,481-97-0,1,3,,
1295,DDPD04575,Quinestrol,152-43-2,1,1,,
1296,DDPD04657,Carboxin,5234-68-4,3,3,,
1297,DDPD04711,Iodipamide,606-17-7,3,5,,
1298,DDPD04743,Nimesulide,51803-78-2,7,10,,
1299,DDPD04794,Bifonazole,60628-96-8,4,5,,
1300,DDPD04812,Benoxaprofen,51234-28-7,2,2,,
1301,DDPD04813,Bithionol,97-18-7,3,3,,
1302,DDPD04815,Clioquinol,130-26-7,1,1,,
1303,DDPD04816,Dantron,117-10-2,1,1,,
1304,DDPD04820,Nialamide,51-12-7,2,2,,
1305,DDPD04821,Nomifensine,24526-64-5,4,4,,
1306,DDPD04822,Oxeladin,468-61-1,2,2,,
1307,DDPD04824,Phenolphthalein,77-09-8,4,4,,
1308,DDPD04825,Prenylamine,390-64-7,2,2,,
1309,DDPD04826,Thenalidine,86-12-4,2,2,,
1310,DDPD04827,Urethane,51-79-6,7,7,,
1311,DDPD04832,Zimelidine,56775-88-3,3,5,,
1312,DDPD04834,Rapacuronium,465499-11-0,2,2,,
1313,DDPD04835,Maraviroc,376348-65-1,6,25,,
1314,DDPD04837,Clofedanol,791-35-5,1,1,,
1315,DDPD04838,Cyclandelate,456-59-7,3,3,,
1316,DDPD04839,Cyproterone acetate,427-51-0,4,6,,
1317,DDPD04840,Debrisoquine,1131-64-2,2,2,,
1318,DDPD04841,Flunarizine,52468-60-7,5,5,,
1319,DDPD04842,Fluspirilene,1841-19-6,3,3,,
1320,DDPD04843,Mepenzolate,25990-43-6,3,5,,
1321,DDPD04844,Tetrabenazine,58-46-8,12,17,,
1322,DDPD04845,Ixabepilone,219989-84-1,5,9,,
1323,DDPD04846,Celiprolol,56980-93-9,7,8,,
1324,DDPD04854,Febuxostat,144060-53-7,7,11,,
1325,DDPD04855,Dronedarone,141626-36-0,14,20,,
1326,DDPD04861,Nebivolol,118457-14-0,14,32,,
1327,DDPD04864,Huperzine A,102518-79-6,1,1,,
1328,DDPD04865,Omacetaxine mepesuccinate,26833-87-4,7,8,,
1329,DDPD04868,Nilotinib,641571-10-0,2,7,,
1330,DDPD04871,Lorcaserin,616202-92-7,6,8,,
1331,DDPD04876,Vildagliptin,274901-16-5,5,6,,
1332,DDPD04880,Enoximone,77671-31-9,6,7,,
1333,DDPD04890,Bepotastine,125602-71-3,6,9,,
1334,DDPD04896,Milnacipran,92623-85-3,15,27,,
1335,DDPD04898,Ximelagatran,192939-46-1,2,2,,
1336,DDPD04908,Flibanserin,167933-07-5,5,6,,
1337,DDPD04911,Oritavancin,171099-57-3,14,21,,
1338,DDPD04918,Ceftobiprole,209467-52-7,3,3,,
1339,DDPD04920,Clevidipine,167221-71-8,6,13,,
1340,DDPD04930,Permethrin,52645-53-1,6,12,,
1341,DDPD04931,Afamelanotide,75921-69-6,5,6,,
1342,DDPD04938,Ospemifene,128607-22-7,9,14,,
1343,DDPD04941,Crofelemer,148465-45-6,1,2,,
1344,DDPD04946,Iloperidone,133454-47-4,7,12,,
1345,DDPD04948,Lofexidine,31036-80-3,12,14,,
1346,DDPD04951,Pirfenidone,53179-13-8,2,3,,
1347,DDPD04953,Ezogabine,150812-12-7,11,20,,
1348,DDPD05013,Ingenol mebutate,75567-37-2,1,2,,
1349,DDPD05015,Belinostat,866323-14-0,8,14,,
1350,DDPD05016,Ataluren,775304-57-9,4,6,,
1351,DDPD05018,Migalastat,108147-54-2,8,11,,
1352,DDPD05039,Indacaterol,312753-06-3,9,17,,
1353,DDPD05109,Trabectedin,114899-77-3,5,7,,
1354,DDPD05154,Pretomanid,187235-37-6,14,22,,
1355,DDPD05219,Crisaborole,906673-24-3,2,2,,
1356,DDPD05239,Cobimetinib,934660-93-2,7,14,,
1357,DDPD05245,Silver sulfadiazine,22199-08-2,3,8,,
1358,DDPD05246,Methsuximide,77-41-8,4,9,,
1359,DDPD05260,Gallium nitrate,13494-90-1,2,4,,
1360,DDPD05271,Rotigotine,99755-59-6,9,18,,
1361,DDPD05294,Vandetanib,443913-73-3,7,8,,
1362,DDPD05316,Pimavanserin,706779-91-1,1,2,,
1363,DDPD05351,Dexlansoprazole,138530-94-6,14,23,,
1364,DDPD05381,Histamine,51-45-6,3,7,,
1365,DDPD05382,Iodine,7553-56-2,1,2,,
1366,DDPD05521,Telaprevir,402957-28-2,8,12,,
1367,DDPD05528,Mipomersen,1000120-98-8,7,9,,
1368,DDPD05541,Brivaracetam,357336-20-0,6,10,,
1369,DDPD05676,Apremilast,608141-41-9,12,17,,
1370,DDPD05812,Abiraterone,154229-19-3,6,10,,
1371,DDPD05990,Obeticholic acid,459789-99-2,12,17,,
1372,DDPD06016,Cariprazine,839712-12-8,5,9,,
1373,DDPD06077,Lumateperone,313368-91-1,7,10,,
1374,DDPD06119,Cenobamate,913088-80-9,9,10,,
1375,DDPD06144,Sertindole,106516-24-9,1,1,,
1376,DDPD06145,Spiramycin,24916-50-5,5,10,,
1377,DDPD06147,Sulfathiazole,72-14-0,5,5,,
1378,DDPD06148,Mianserin,24219-97-4,5,6,,
1379,DDPD06149,Teicoplanin,61036-62-2,3,3,,
1380,DDPD06150,Sulfadimethoxine,122-11-2,3,3,,
1381,DDPD06151,Acetylcysteine,616-91-1,9,21,,
1382,DDPD06152,Nylidrin,447-41-6,1,1,,
1383,DDPD06153,Pizotifen,15574-96-6,10,16,,
1384,DDPD06154,Pentaerythritol tetranitrate,78-11-5,6,6,,
1385,DDPD06155,Rimonabant,168273-06-1,2,3,,
1386,DDPD06174,Noscapine,128-62-1,3,3,,
1387,DDPD06176,Romidepsin,128517-07-7,5,9,,
1388,DDPD06193,Pixantrone,144510-96-3,4,7,,
1389,DDPD06196,Icatibant,130308-48-4,9,12,,
1390,DDPD06201,Rufinamide,106308-44-5,11,22,,
1391,DDPD06202,Lasofoxifene,180916-16-9,7,7,,
1392,DDPD06203,Alogliptin,850649-61-5,9,13,,
1393,DDPD06204,Tapentadol,175591-23-8,13,25,,
1394,DDPD06206,Sugammadex,343306-71-8,6,11,,
1395,DDPD06207,Silodosin,160970-54-7,10,15,,
1396,DDPD06209,Prasugrel,150322-43-3,8,15,,
1397,DDPD06210,Eltrombopag,496775-61-2,5,21,,
1398,DDPD06211,Doripenem,148016-81-3,6,11,,
1399,DDPD06212,Tolvaptan,150683-30-0,10,19,,
1400,DDPD06213,Regadenoson,313348-27-5,8,16,,
1401,DDPD06215,Ferumoxytol,722492-56-0,4,5,,
1402,DDPD06216,Asenapine,65576-45-6,10,19,,
1403,DDPD06217,Vernakalant,794466-70-9,4,9,,
1404,DDPD06218,Lacosamide,175481-36-4,10,20,,
1405,DDPD06219,Dalbavancin,171500-79-1,6,10,,
1406,DDPD06228,Rivaroxaban,366789-02-8,8,17,,
1407,DDPD06230,Nalmefene,55096-26-9,11,33,,
1408,DDPD06237,Avanafil,330784-47-9,5,9,,
1409,DDPD06243,Eflornithine,70052-12-9,3,6,,
1410,DDPD06261,Hexaminolevulinate,140898-97-1,3,7,,
1411,DDPD06262,Droxidopa,23651-95-8,4,5,,
1412,DDPD06268,Sitaxentan,184036-34-8,4,5,,
1413,DDPD06274,Alvimopan,156053-89-3,8,15,,
1414,DDPD06282,Levocetirizine,130018-77-8,11,16,,
1415,DDPD06283,Ziconotide,107452-89-1,8,17,,
1416,DDPD06287,Temsirolimus,162635-04-3,7,13,,
1417,DDPD06288,Amisulpride,71675-85-9,6,6,,
1418,DDPD06290,Simeprevir,923604-59-5,6,9,,
1419,DDPD06292,Dapagliflozin,461432-26-8,11,18,,
1420,DDPD06335,Saxagliptin,361442-04-8,9,16,,
1421,DDPD06401,Bazedoxifene,198481-32-2,7,10,,
1422,DDPD06402,Telavancin,372151-71-8,8,12,,
1423,DDPD06403,Ambrisentan,177036-94-1,9,13,,
